,0
171,"Reçus ce matin, utilisés aussitôt. Très bon packaging. Plusieurs tailles pour les embouts intra -auriculaires, dont une paire très confortable en mousse à mémoire de forme, qui est un très bon réducteur de bruit. Personnellement, vu que j'ai un petit conduit auditif, je perdais régulièrement mes embouts avec mes écouteurs filaires. Du coup j'ai choisi ces écouteurs parce qu'il y a un tour d'oreille, ce qui maintient tout bien comme il faut. Je ne les perds plus du coup. Le son est bon, vraiment. Je les apparaillés sans soucis à mon xperia, mon ordi, ma tablette et mon iPod touch. Je recommande vivement."
172,"Oreillettes Bluetooth vendues à petit prix. Appairage facile et immédiat. Son très correct (et je suis exigeant) mais un peu métallique. Tiennent très bien sur les oreilles. Attention coupure de la liaison au-delà de 5 m si présence d'un mur (sinon à partir de 9-10 m en champ libre). La notice est claire, l'emballage propre et bien présenté (Bon à savoir si vous voulez en faire cadeau) et en plus l'envoi est très rapide. Reste à voir la fiabilité dans le temps. Pour l'instant je recommande."
173,"Je les utilise pour courrir, ils tiennent très bien dans l'oreille. Le son est bien, pas besoin d'être en volume maxi même en course sur tapis l'hiver. Je les utilise également pour regarder des séries avec ma tablette samsung. En autonomie, je crois que ça tient 10 heures sans problème si ce n'est pas plus car je les utilise 3 fois pas semaine minimum 1heure en course puis pour visionner mes series et je les recharge 2 fois dans le mois..."
174,"Très satisfaite je les prends pour aller courir. J'étais surprise parce que je ne sais pas où est le micro, mais les gens m'entendent parfaitement donc la qualité est top !"
175,"Bonjour, Contrairement à certains avis que j'ai pu lire, je suis entièrement satisfait par ces écouteurs, ils sont vraiment très pratiques, tiennent parfaitement en place sans blesser l'oreille vu que le plastique utilisé est souple , je n'ai eu aucun problème pour les faire reconnaître sur mes différents appareils , par contre pour écouter la radio , cela ne fonctionne pas vu qu'il faut brancher la prise jack de l'écouteur pour servir d'antenne , il suffit d'aller télécharger sur google play la radio concernée , mais votre smartphone doit être connecté à internet via le wifi ou la 4G. Cool"
176,"J'utilise ces écouteurs lors de mes sorties vélos. Les écouteurs sont assez confortable à porter, et ne sortent pas des oreilles pendant l'activité sportive. Le son est bon, et l'autonomie est assez bonne (environ 10 heures). Bon produit dans l'ensemble"
177,"Cuffie acquistate per un'amica che non ama gli auricolari in-ear con i gommini. Mi ha riferito che stanno bene all'orecchio, non cadono e non danno alcun fastidio anche se utilizzate per lungo tempo. Arrivate sigillate e in una bella confezione. Le ho provate per un po' per essere sicuro della qualità. Mi sono piaciute le alternative di comandi che si possono dare utilizzando i due tastini posti sugli auricolari: ⏮️ brano precendente ▶ Play ⏸ Pausa ⏭ Brano successivo ⏹️Spegni ✔️ Rispondere ad una chiamata Altra cosa utile è che si può utilizzare un auricolare per volta, sia destro che sinistro. L'accoppiamento Bluetooth con lo smartphone è velocissimo. Basta aprire il cofanetto e si è subito connessi. La durata della batteria in ascolto a tutto volume ha raggiunto le 4 ore abbondanti, a volume normale secondo me superano tranquillamente le 5 ore. La qualità del suono è pazzesca, considerando il prezzo di queste cuffie. Suono potente, bassi corposi, alti ben distinguibili, un buon equilibrio che va bene per la maggior parte degli ascolti. Il design è molto carino e curato, compreso quello del cofanetto di ricarica. Se non fossero in-ear le comprerei subito anche per me, purtroppo non amo il modello iPhone, perché non si adatta al mio orecchio. Quindi, se usate questo tipo di auricolari senza problemi quotidianamente vi consiglio di passare a queste true wireless Bluetooth. Sono davvero comode."
178,"En los últimos días he comprado varios auriculares para regalar, y estos me han gustado tanto que se los voy a regalar a la persona que más entiende. Me ha sorprendido lo bien que suenan para su pequeño tamaño. Los graves muy profundos y los agudos muy claros. A diferencia de otros auriculares de tamaño reducido, el sonido es bastante bueno. Los he probado durante un par de horas y todavía les queda un 80% de batería. El emparejamiento es muy sencillo, aparecen en el teléfono y se emparejan de momento. Para apagarlos, simplemente se meten en la caja y se cierra la tapa, y se apagan solos. Se encienden automáticamente al volver a sacarlos de la caja. Los botones que traen hacen diferentes funciones según los toques: Si se mantienen pulsados suben o bajan el volumen, si se dan dos toques cambia de canción, y si se da un solo toque hace la función de pausa. En llamada también se oyen muy bien, he hablado con ellos por la calle y mi interlocutor dice que se me oía perfectamente. La única pega que le encuentro es que no traen un imán para pegarse a la caja, otros modelos sí que se fijan a la base por imán y da sensación de quedarse más sujeto. Este se sujeta por la tapa de la caja. Estaría bien que para futuras actualizaciones le pusieran un pequeño imán. En resumen, muy buenos. Recomendable!"
179,"Pros: Look much better in black than white, small, easy to set uo Cons: Sound is a bit thin unless pressed into ears Addition of silicon covers to help the fit makes a HUGE difference to the sound, especially the bass. Bought black ones designed to fit Airpods, work a treat!"
180,"I always wanted one of these but fear it might fall out of my earhole, but i was so wrong. I wore them in the gym, it didnt fall out once. Easy pairing with good battery life. It has good noise cancelling with good sound quality. I like the case alot looks very slick and does the recharging when its closed."
181,"Era da tempo che cercavo delle cuffie senza i gommini a contatto con le orecchie e senza spendere un patrimonio; ho visto questo prodotto ho letto le recensioni e mi sono convinto. (ps: i gommini si possno mettere se volete) Prima impressione: pacchetto minimal, ma in senso positivo, possiamo dire molto apple-style. Confezione elegante che a mio avviso ne fanno una ottima idea regalo. Nella confezione le cuffie, la sua custodia di ricarica e il cavo usb di ricarica. Le cuffie sono arrivate cariche all'70% e la cosa mi aggrada perchè sappiamo che se arrivano scatiche o troppo cariche la batteria ne risente. Appena accese lo ho subito associate al mio smartphone andoid (testate anche con iphone e subito riconosciute). Mi piace come premesso il feeling senza gommini, anche perchè un minimo di rumore esterno lo voglio sentire per non rischiare di finire sotto le auto. Test audio: vanno da dio; si sentono meglio delle cuffie sol filo samsung che avevo; i bassi ci sono ed è la cosa che spesso alle cuffie manca. I pulsanti a sfioro sulle cuffie sono una goduria e finora non hanno mai sbagliato un colpo. Io tengo il livello batteria compreso tra 10% e 90% al fine di salvaguardala al meglio e per ora le cuffie durano circa 4 ore, per cui sono stra contento."
182,"Really easy to pair with the phone, soon as I turned it on I loved it. The sound quality is good and it lasted a long time! Solid Product, would recommend!"
183,"The earbuds are great for the price and seems to be all working fine. The third time I picked them up to use them the back of one just fell off exposing the wires and wouldn't go back on, so not very happy with this at all and I will be asking for a refund"
184,Straight out of the box the sound kept dropping in and out from both ear buds Very disappointing
185,"Auriculares muy cómodos y no pesan nada. Se vinculan perfectamente con mi teléfono Xiaomi y mi tablet Samsung. Una calidad de sonido muy buena, al menos para mí sin ser un experto. La duración de la batería es genial, sin recargarlo en la caja al menos cuatro horas fijo, veremos con el tiempo. Las dimensiones de los auriculares están bien para un adulto, quizá por poner alguna pega, que no se pueda modificar el tamaño del auricular con almohadillas o así, ya que en orejas muy pequeñas o de niño quizá no entren, pero igual pasará con los demás. El manos libres funciona perfectamente y con los botones de cada uno puedes contestar, colgar o pausar canciones y reanudar. Estoy bastante contento con ellos"
186,"Son unos auriculares muy baratitos para lo que son y la calidad que tienen. Los acabados son de calidad y muy resistentes.A la calidad le daría un 8/10 El sonido es tenue y muy clarito, no son unos airpods pero se escuchan fabulosamente. Por otro lado la base de la carga los carga unso 3/4veces al 100% lo cual es super cómodo para llevarlo en el bolsillo y siempre tener carga. Se peude poner en todo tipo de dispositivos , tablet , movi., pc, tv, y parecen de calidad. Estoy encantada"
187,"Effettuata la prima associazione con il telefono, molto rapida e semplice, le cuffie si connetteranno automaticamente con il cellulare ogni qual volta se ne toglierà una dal case, la musica viene riprodotta anche con una cuffietta sola e l’associazione tra destra e sinistra è immediata, purtroppo però se riposte nel case non si disconnettono. La carica è buona dura circa due tre ore e inoltre il case fa da powerbank garantendo più ricariche, purtroppo non è presente un indicatore di carica sul case. Le cuffie tramite magnete restano perfettamente aderenti alla posizione di ricarica cosa che permette di non avere spiacevoli sorprese. Custodia piccola e facile da trasportare, cuffie ben fatte, materiali buoni e estetica accattivante sembrano costare ben di più. Sulla parte lunga delle cuffiette è presente un tasto fisico che permette tramite un click di mettere in pausa o riprodurre la musica dal telefono e con un click prolungato attiva l’assistente vocale. Il suono è buono leggermente gracchiante e gli alti non sono perfetti, le chiamate sufficienti si sente molto bene l’interlocutore, le cuffie isolano bene, ma lui sente i suoni di sottofondo, anche se capisce tutto quello che diciamo. Per concludere in confezione troviamo un cavo micro usb per ricaricarle e tre coppie di gommini per migliorare, se necessario, la compatibilità con il padiglione uditivo, devo dire che io mi sono trovato bene con quelle già inserite e anche durante una sessione di palestra non sono mai cadute. Che dire ottimo rapporto qualità prezzo non il massimo ma per 25 euro da prendere!!"
188,Great wireless headphones . Easy use and nice look
189,"Schon beim auspacken des Amazonpakets dachte ich, ich hätte mir ein zweites paar Airpods bestellt :D Die Verpackung und Aufmachung ähnelt ihnen sehr stark. Für meine Schwiegermutter sollten diese hier sein und ich habe sie ihr direkt zum probieren gebracht. „Mega geil und voll laut“ hat sie gesagt :D sie hört gerne alles in Richtung Rock und Metall, aber auch Klassik und hat nun nach den ersten paar Liedern und längerem hören (gute 2 Stunden) durchweg positive Rückmeldung gegeben. Die Kopfhörer konnte sie schnell verbinden und die Farbe gefällt ihr genau so wie sie auf dem Bild zu sehen ist. Wären sie nicht pink, hätte ich sie nach meinem Testhören vermutlich selber als Zweit- oder Drittkopfhörer behalten xD Die Tonqualität ist echt top und die Bluetoothverbindung hält stabil. Euer Peter :)"
190,"Hallo, Sehr Edel und leicht zu tragen finde ich ! Und das in Schwarz, sieht schon toll aus :) Ich habe mir diese Kabellosen In-Ears geholt, da mit die Kabel gebundenen beim Training immer genervt hat und die Over-Ears einfach nicht den gleichen Sound/Bass rüberbringen wie In-Ears. Ich habe schon einige Bluetooth Kopfhörer gekauft darunter einige günstigere Modelle und ein Paar teure Modelle, muss aber sagen dass es gut ist. Von mir ne Kauf Empfehlung !"
191,"Buscaba unos auriculares inalámbricos in-ear que fueran de color negro. El paquete que me llegó, además de los propios auriculares, adjuntaba el estuche de carga, un manual de instrucciones, así como un cable microUSB necesario para la recarga. Este estuche, una vez guardamos en él los auriculares, y gracias a su batería interna de 1000 mAh, al cerrar su tapa, comienza a recargar los auriculares. Aunque este estuche posee indicador LED de batería restante, recomiendo al fabricante mejorar este aspecto, añadiendo una pantalla LED que nos informe del porcentaje de batería restante. Respecto a su autonomía, he podido contabilizar que aproximadamente, y a volumen medio, ofrecen casi cinco horas de reproducción continua. Dotados de una conexión inalámbrica bluetooth 5.0, el emparejamiento entre ambos, así como la conexión, como sucede en mi caso, a un Smartphone, se produce de forma estable y casi instantánea. Después de casi dos semanas de uso, en ningún momento he llegado a experimentar cortes de conexión. Respecto a su audio, he de decir que, teniendo en cuenta el precio de estos auriculares, ha sido toda una sorpresa. Ofrece un equilibrio sonido, destacando especialmente la calidad de sus agudos y medios. La experiencia de uso ha sido gratificante, considerándolos idóneos para escuchar música. Respecto a su ergonomía, afirmar que estos son cómodos de llevar, ajustándose perfectamente a mi oreja. Sorprendido por su notable relación calidad/precio."
192,"Je les ai acheté un peu méfiant de la qualité du son, mais franchement ils m’ont vraiment surpris. J’ai fait déjà deux sorties de 5km et 10km et je n’ai pas eu des soucis, même je n’ai pas du mettre le son fort .. j’ai pu courir tranquillement et parler sans avoir besoin de les retirer. L’autre chose à tenir en compte et qui j’ai pu faire mes courses à pied et me sentir en toute sécurité en écoutant la musique et les voitures, vélos et trottinettes électriques qui essaiment à Paris. La légère et la bonne fixation me font oublier que je les porte... j'espère qu’ils durent dans le temps. Je les recommande !"
193,"En cette période de canicule, il est inconcevable pour moi d'écouter de la musique dans les transports avec mon casque habituel. Il me fallait vraiment un casque / écouteur empêchant toute transpiration. Je ne connaissais pas l'existence des écouteurs à conduction osseuse jusqu'au jour où un collègue m'en parle et me fait tester 10 secondes son Aftershokz Trek Air. J'ai été séduit par son design, sa légèreté et surtout son côté très ouvert. Je me suis décidé à prendre ce type de casque. J'ai finalement opté pour l'Aftershokz Aeropex. Après plusieurs recherches sur le net, il s'avère qu'il s'agit du meilleur casque à conduction osseuse à ce jour. Le packaging est vraiment top, on voit tout de suite qu'il s'agit d'un produit finit et soigné. J'ai été un peu dérouté par la présence de 2 câbles, de la sacoche à fermeture magnétique mais surtout des bouchons d'oreilles. Le casque est quant à lui très léger et la qualité de restitution du son (aigu, médium) n'a presque rien à envier aux casques classiques à l'exception des basses. Ces derniers manquent cruellement de punch malgré les améliorations faites par rapport aux Trek Air. La restitution des voix est vraiment top également. Alors, certes, ça ne vaudra pas un bon casque. Certains détails sonores disparaissent complètement. Les 5 premières minutes d'écoutent étaient assez désagréablement du fait que l'écouteur exerce une certaine pression sur les tempes et le fait que les transducteurs vibrent énormément. Même en l'ayant retirer, je ressentais encore cette gêne. Mais le lendemain, j'ai pu enchaîner une écoute quasi non stop dans les transports et au bureau. Je regrette seulement l'absence de bass bien péchu et surtout l'utilisation de connectique propriétaire (surement dû à la norme IP67/IP68). Bref, la technologie est prometteur. Et si vous cherchez un moyen d'écouter de la musique en période de canicule alors foncez."
194,"Après avoir testé le modèle trekz durant qlq semaines et l avoir renvoyé pour cause d inconfort, c est ce modèle depuis 2mois Et sa seule limite est son autonomie Je suis fan de ce casque Vraiment En voiture, en vélo, à pied ou simplement chez moi, je porte parfois le casque 8hr d affilée. Pas de gêne causée par les vibrations (raison du renvoi du trekz), oreillette parfaite en voiture, je pense que c est compatible avec la législation française vu que les 2 oreilles restent libres. J ai ainsi un bon autoradio en voiture et à pied. En vélo c est parfois plus compliqué avec le vent mais je préfère ne pas entendre parfois la musique 3 minutes qu'être coupé de l extérieur. La suppression des bruits est correct, mon interlocuteur ignore souvent que je suis en déplacement. L assistant google a un peu plus de mal mais rien de rédhibitoire. Je pensais ne mettre que 4 étoiles pour l exercice physique car avec casque vélo et lunettes, le casque audio bouge parfois mais cela serait vmt mépriser les qualités du produit. De l argent bien investi, testé même dans la douche. Le constructeur devrait mieux communiquer sur le contenu du packaging J ai reçu une pochette ventrale fort pratique et quasi étanche et surtout 2 câbles de recharge. Je ne crains donc pas de me retrouver sans câble."
195,"Ayant déjà le modèle Trekz Air, je souhaitais un modèle permettant de l'utiliser dans l'eau. L'Aeropex permet de le faire (utilisation dans la douche). J'essayerai peut-être à la piscine même si j'ai un peu un doute. Niveau sensation, il a l'air + léger et est un peu + confortable que le Trekz Air qui était lui-même d'une bonne qualité. Par contre, j'ai l'impression que le son est légèrement moins clair que celui du Air avec un équilibrage moins bon des basses et des aigus, malgré les 2 réglages disponibles. Sinon que dire? Le multisource est toujours aussi pratique (je l'appaire avec mon smartphone ET une tablette) et le nouveau cable usb magnétique est vraiment pratique même si non standard (contrairement au Air qui était du micro usb). Il y en a 2 de fournis. Une petite sacoche toute fine de jogger est fourni avec permettant d'y placer son smartphone pendant une session d'exercice. Je trouve ça sympa d'y avoir pensé. Après 1 jour d'utilisation, je suis satisfait. Le prix est cher mais je pense qu'on paye les petits conforts en plus."
196,"Ce qu'il promet, il le fait. C'est un casque pensé pour le sport/running. Et c'est finalement moi qui n'est pas un usage 'adapte' au produit. Je veux certe un casque de sport/running, mais j'aimerai pouvoir l'utiliser dans le train, dans mon lit.... Pour que la conduction osseuse s'effectue bien, il faut que les émetteurs soient parfaitement positionnés, ce qui veut dire que l'arceau est bien rigide, mais il ne se posera pas sur votre nuque, il sera suspendu derriere votre crane, afin de faire une legere pression. En course, aucun problème, mais assis la tete posée sur un siege de bureau, c'est juste pas adapté. * Qualite du son: Je ne suis pas melomane, donc il me sera difficile de vous dire a quel point le son est bon. Par contre, soyons clair, le son est bon, de meilleur qualite que bien des casques que j'ai pu avoir entre les mains. * Autonomie: Parfait. 8h sans probleme. recharge rapide * Confort: Pendant l'effort, tres bon. Nullement gene par les legeres vibrations que l'on peut qqfois ressentir a forte puissance."
197,aftershokzTITANIUMを２年近く使っているので操作方法や、ボタンの位置など何も迷わないで使えました。 TITANIUMも★5つにするほど超お気に入りなので、買い換えるというよりも買い足した感じです。 (TITANIUMを使い続けてすっかりAfterShokzが好きになってしまいました) え〜と、まずTITANIUMと比べて～、その軽さに、装着した瞬間驚いちゃいましたね。 形もあるのだろうけど10ｇってこんなに変わるんだな〜って。 同じ音量で聞き比べたときの、音漏れも少なくなってました。 あと大音量にしたときの、低音で肌がブルブルってするあの感じがかなり減ってます。 ⚠全く無いわけではありません。 (え？あ、いや、でも別にあのブルブルが嫌いって言ってるんじゃないんですよ？でもちょっと、くすぐったいっていうかかゆいかな。汗) 音質はTITANIUMより低音がマイルドにおさえられていて、特に中低音から高音がすごくキレイで、クリアに聞こえるようになってます。 (逆に言うとTITANIUMの方が低音を感じて楽しい音かも。ただしTITANIUMは、少しこもって聞こえますし、音量を上げるとブルブルも増し増しです。 だから···な〜んていうのかなぁ。百歩譲って···あ、百歩譲る必要ないや。。つまり〜その〜、こっちのほうが、つけてないような自然な響きがあっていいんです。) 付属のシリコンポーチ(スポーツバックじゃない方)も今までの巾着袋よりコンパクトになって、かさばらず使い勝手がとてもよきです。 (TITANIUMも入るのでこれからこっちを使っていこうと思います) TITANIUMの方にも書きましたが、イヤホンと違って耳を塞がないから蒸れがなくてマジ快適なのと、外で聞くとき外音を取り込めるからマジマジ安全。 濡れることも全然気にしないで済むしね〜。 あと、ワイアレスイヤホンみたいにバッテリーケースを持ち歩かなくていいから結局こっちのほうが軽くてコンパクトじゃないかな？ (あっ、だ、だと思います。たぶん。) だから···だから？ あっ、いや、なんかね、鼓膜をショートカットして聞いてるみたいな感覚だし、(イメージね、イメージ。)これって相変わらず中毒性高めで最高だな〜ってさ。うん。ほんとに。 あとはTITANIUMもAEROPEXも交互に使って耐久性や使いやすさなど、もっと良いところがあったら(たぶん良いところしかなさそうだけどさ。)レビューしたいと思いますね(^o^) ※追記※ あーーっ!! あと、レビュー見てくれてるみたいだからコレは書いとかないとね。ダメだね。 製品登録は箱のなかに入ってるQRコード(製品登録してくださいって書いてあるカード入ってたでしょ？あれあれ。)を読み込んでアカウント登録して、 JANコード：4512223688553 モデルナンバー：AFT-SP-000002 ↑ (コレは両方ともみんな共通みたいだよ) を入力して製品登録したら、簡単に出来ましたよ! では! bye bye! ※追記※ ほとんど毎日のように使っているAEROPEXですが、コロ〜ナヴァイルスの影響で2月頃から買い物に行くときや、少し人の多いところに行くときにはマスクと共にある物を使って外出するようになりました。 AEROPEXは骨伝導界のマジ神だし、音の切れも良くて装着しても違和感ないしとても良いのですが、マスクと一緒につけると紐が引っかかるし、目からの感染を防ぐ為にさらに伊達メガネを掛けたりすると、耳が大変な事になってしまうので、BOSE framesをクリアレンズに交換してカスタムしたサングラスを愛用するようになり、使い分けるようになりました。 BOSE framesの方もレビューしているので良かったら探して読んで見てくださいね（笑） あと、久しぶりに見たら参考になったを押してくれてる人が多くって超絶びっくりしてます!! また気が付いた事があったら追記したいと思いますね! ではっ!!またどこかのレビューで会いましょう!!さらばじゃ!! ※追記※2020/5/4 あべしっ!!ボタンが逝った〜!!電源ボタンが逝っても〜た〜!あ〜〜〜!最速で買って、最速でレビューして、最速で逝った〜(涙) ということで、焦らず受付サーポートフォームへアクセス!!(カチッ) メールのみということなので、必要事項と、製品やモデルナンバー、症状などを記入。 後は保証書を添付して送信。(ポチッ) とりあえず今はコロ〜ナの影響で受付サポートがやっていないようだし、TITANIUMがあるので返信が来るまで、気長に待ってみようと思いま〜す（笑） 返信がきたら経過も含めて書き留めておきますね!では! ※追記※ 2020/5/13 約1週間ぶりにAeropexが帰って来ました! 返品は非常に簡単で、返信メールの指示どおり、全ての付属品などをパッケージに戻し、梱包してフォーカルポイント株式会社 サービス&サポート部宛に送って終了。 そしてすぐ新しい代替え品が届きました。 届いてまず驚いたのがボタンにクリック感がある事でした。 (あれ？なんかいつもと違う!?って感じ) 以前のAeropexはボタンがちょっと硬いっていうか.....。なんか、こう、指先にグッと力を入れなければ押せなかったのですが、軽くなったのか.....はたまた初期不良だったのかは分かりません。 もしかしたらパッケージの色が変わっていたので、ちょっぴり進化したのかもしれませんね。 まその〜使用感は、な〜んにも変わらないから、どうでもいいといえばどうでもいいんですけど。(汗) 結局その、まとめると〜。今回の件でサポートもしっかりしている事が分かったので〜、ますますAfterShokzが好きになってしまった!って事ですねっ! あ、あと、コロナの影響で大変な最中、返信をその日の内にしていただくという神対応ありがとうございました!! では、また何かあったら追記しようと思います!それではっ!
198,"After hearing a friends AfterShokz Air, I was impressed and decided that I needed to get these to try for myself. I am not their main target customer. I use these in the office primarily with the intended occasional bike ride at the weekends (still yet to try this). I wanted to be able to listen to music but still hear the conversations going on around me in case I need to join in, or simply if someone wants to ask me a question and they can just say my name without doing a wavy dance to try and get my attention. For this they work exactly as intended. I also take several calls throughout the day and the quality is excellent. I can hear people loud and clear and I have been told that I come across very clear with the quality on par with most headsets. Watching films seems to have audio in sync and sounds great. I also have these connected to my laptop at the same time and can seamlessly switch between my phone and laptop. Battery wise I am still amazed. I have not timed it yet myself, but I have no issues getting through a full day of music listening and calls with the odd pauses throughout the day. Comfort is really really good and most of the time I forget that I am actually wearing them. I do have the music at a normal volume (not so loud that I cant hear my surroundings) so the vibrations into my jaw are not too harsh which I think also helps with reducing fatigue. But I pretty much have this on my head for a solid 10 hours to put it into perspective. Sound quality is going to be very subjective. They are not your normal headphones and therefore will not be as good BUT they are far from average. Yes the bass response is not as good but Im not listening to loud heavy dance tracks and for the most part I forget that the bass is lacking. Music still sounds nicely rounded and pleasant to listen to. If I was to find fault it would be with the vibrations on louder volumes. It cant really be helped, but the vibrations are a weird sensation and fatigue does set in much quicker. There is also a confirmation beep for things like volume up which is unnecessarily loud and makes me want to use my phone volume instead of the headset buttons. Other than that I couldn't recommend enough if the use case fits you. ---update---- Tried these on a ride and work exactly as you would expect. The helmet straps aren't an issue and the rear band sits low enough to not interfere with the rear helmet strap (at least on my normal helmet) Still very happy and they have been glued to my head all day everyday at the moment."
199,"Where do I start. I have been using Aftershokz headphones for some time now after running with normal in ear headphones and nearly not hearing a car and nearly ending under it along a country lane so I carried out some research and found this company. I thought the Air model was good and enjoyed them for my running, working out in the gym cardio or weights and now the cycle ride to work. The new Aero model is far far superior then the Air, the sound is much clearer and sounds more meaty. Plus the base has been improved, which is great as when training I always listen to Spotify Run N Base 170-175 BPM and the Aero's make the play list sound great. Like others reviews on here I even forget I still have these on due to there light weight and even walked into the shower with them on, thankfully they are IP67 so after a oh crap moment I then relaxed remembering IP67 😃. I'm waiting for the other colours to come out and I'll be buying my wife a pair now for when she hits the gym. Overall these headphones are Fantastic and they do last the 8 hours, I made sure I didnt charge to find out. Everyone I show these headphones to there reply is mostly WOW Amazing, these are from others who are using all different brands from airpods, bose etc. They are the make and model and are going to look into them so just me showing people how great they are I reckon 10 friends and people in the gym have gone and ordered them and others added to their birthday or christmas wish list! Well done Aftershokz keep up the good work!!"
200,"These headphones are absolutely superb! Best thing ever for someone like me. I have hearing loss & have worn hearing aids since childhood. For the past 15 yrs I've tiny worn in-the-ear hearing aids which means whenever I want to use headphones I have to take my hearing aids out. When I use in-the-ear phones/pods, I must remove my hearing aids & even with large on the ear headphones I find the sound quality better without my hearing aids. I have heard of these bone conduction headphones before & generally reviews are poor sound quality & very expensive. Recently I came across these AfterShokz & decided to give them a try. I must say I find them incredible & its an absolute must have for someone like me with hearing aids. The headphones fit from behind over top of the ears with the bone/vibration pads in front of the ears. Setting up & using the headphones is pretty standard like any bluetooth headphones. The sound comes from the vibrating pads & I find the quality just as good as any decent quality headphones. But with my hearing! Perhaps I don't know what 'Quality Audio' sound is? When using them for the very first time, it can be a bit strange, as I can hear music from the headphones & also hear everything around me. The pads vibrate which feels weird but soon get used to it. The vibration becomes stronger when turning up the volume & at maximum it is too loud & strong vibration for me. I keep them around 50% - 60% level. The headphones are completely sealed with IP67 water resistance, however I don't think I will be swimming with them. The charging connector is magnetic (like on MacBooks) & comes with 2 charging cables. For me I am finding these bone conduction headphones a life changing experience. I only wish I got them sooner!"
201,"First things first, I hardly EVER write reviews. Way too busy, and I don't typically care enough. Here's a short and sweet summary: if you can fit the extra $160 into this month's budget (maybe no fast food, pizza, or coffee...whatever), don't hesitate - you won't regret it. Next, here's some helpful info from the included manual: Wireless range: 10 meters (honestly, I get better range than that...I've used them from downstairs in the opposite corner of my house from my phone) Continuous play battery life: 8 hours (they must mean streaming to two devices simultaneously and nonstop, or maybe talking on the phone for 8 hours, because I wear and use it all day from 6am until around 9pm and have only charged it at night - it has never died). ...now on to why I love these things. I am a previous owner of the Trekz Titanium. I tried the Trekz Air but didn't buy them. I was waiting for a unit that handled dual Bluetooth devices and was waterproof - Aeropex was what I was waiting for. Cons: You already know this, bone conduction headphones can't replicate the amazing bass of an expensive pair of earbuds or cans. THAT SAID, when you're under water (these are waterproof) or wearing earplugs these things easily sound at least as good as a ""decent"" pair of headphones (like $20-40 range...more than adequate unless you are an audiophile). WITHOUT earplugs in, with open ears that are alert to your surroundings, I'd say these are the same quality ""ish"" of stock Apple iPhone earbuds. Maybe a bit less. PROs: 1. These have the best battery life of any wireless headphones I've used. 2. I now have a headset that simultaneously connects to my work laptop for Skype meetings and my iPhone for personal stuff. Amazing. No more multiple headsets. Mic is great. Clarity is better than my Plantronics. 3. Sound quality is great. Better than Trekz Titanium, can't speak for Air. The feeling that there is music playing that everyone else hears BUT THEY DONT is pretty amazing. I get to work or exercise to the music that keeps me going, but I don't have to worry about not being alert. No, these don't have great bass (without earplugs in). But as someone who enjoys dubstep, I can at least say I enjoy my music, still. The benefits far outweigh this minor drawback, trust me. 4. Vibration (the tickle common to bone conduction) is dramatically improved, as is sound leakage. People don't hear these things unless they are cranked. 5. Touching on something mentioned in my one and only ""Con"" - if you want noise cancelling headphones, it would be tough to find a better pair. Since you can wear the highest grade earplugs with these things - THEREBY *ENHANCING* THE SOUND - they effectively replace any other noise cancelling headphones. AMAZING. 6. I love, love, love the charging port. The magnetic charger just snaps into place and works - I now wish every device had a charger like this. BONUS: they give you two in the box, so you have one for home and one for work. 7. Since this is a relatively ""new"" technology, it's a great conversation starter, and everybody loves it. When you tell them to plug their ears (and suddenly they hear it BETTER) the facial response is like magic. ...so there you have it. I will likely not review another product for like ten or more years. But you, dear reader, I hope this pushes over the edge, if you're on the fence. These things are great. I have worn them all day, every day, since purchase (manufacturer warranty of two years btw) and they are comfortable and so convenient. Hope this helps!"
