,review_rating,review_posted_date,review_text,review_author
460,2.0 ,21 Jan 2013,"When I first noticed the feminine Bic I was like, really? Bic must be getting desperate. But I was willing to give them a try. However I found that I still prefer my Disney Princess pen. It is a light up pen with feathers on it. It writes in pure 24K gold glitter, pastel rainbow colors and crushed Xanax. So that later on I can lick it off the paper as I am weeping in my locked bathroom while listening to my kids fight with one another. Disney FTW.",Mimi
461,2.0 ,28 Sep 2012,"Warning!  I think this pen is a time machine in disguise!  When my boyfriend tried this pen in pink (his favorite color), it set off a whirlwind of domestic activity!  He scrubbed the bathroom floor, changed the bed, cleaned out the refrigerator, and baked cookies all without a hair falling out of place and breaking a fingernail!  I came home from work and he greeted me at the door with, ""How was your day, darling?"".  I suddenly felt the overwhelming urge to say, ""Nothing to worry your handsome face about, dear.  Are my steak and ribs ready?  I've got poker with the boys tonight.""  This was because I had been using those ghastly ""man pens"" all day at work!  Truly, I felt transported back to 1957!  I started to feel the need to turn in my neighbors from across the street because I think they're Communists and cover my ears as that blasted rock and roll music played!  Jeeze, these young people today just don't have any taste!",volsandyankeesfan
462,3.0 ,02 Dec 2013,"Got a pack for my wife, thinking I'd get some brownie points. She said they were ""ok"" but she really wanted one of the big black Sharpie's.",Jakers
463,3.0 ,08 Apr 2015,I'm confused. Why does the product say it's better for a woman because it's thin?,Obi Wan
464,5.0 ,28 Aug 2012,"As the stood there on stage in front of millions in my neck to toe cleavage baring dress I thought to myself this is the moment I have waited for all my life. This is what generations of feminists have fought for. A chance to be judged on my brains not my looks, not the risque dress I was wearing and definitely not the bikini round of judging. So with my question and my crown in the balance, I picked up the folded sheet of paper from the glass bowl. My heart pounded as I unfolded the paper. My nervousness caused the words to blur before my eyes. This was the moment of truth and the universe would be mine if I could answer the question: what in your opinion has been the watershed event in women's rights in the past 100 years. With a triumphant gleam in my eyes I said ""the invention of bic cristal lady pen."" The roar of the crowd and the amazed look the judges couldn't quite hide from their faces told me victory was mine. So hear I am wearing my Miss Universe crown and writing this review. To all you disbelievers, dreams do come true. You just have to believe in your feminine powers bestowed by bic.",Kindle Customer
465,2.0 ,30 Aug 2012,"Oft I haue dreamt of ſuch an inſtrumente wiþ which to adorn my faire maidenhood. As ſoon as I ſaw þeſe moſt curious trinkets, þe need to poſseſs ſuch a beautiful inſtrumente was moſt preſsing. I beſought Faþer ſome coin for which to buy bread at þe market, and tarried not as I went þiþer and purchaſed þeſe wares inſtead, þinking myſelf a cleuer imppe. As I attempted to make þem of vſe, I ſaw þat my hands were vncomely for a gentle and noble woman and I wept in deſpaire wiþ þe knowledge þat I would neuer know þe loue of a kind and noble lord or knight wiþ loaþſsome hands ſuch as þeſe. I was beſet wiþ woe and ſorrow and erewhile I am but a lowly ſeruent wench in an ale houſe, curſed ſtill by þe gods, who haue ſeen fitte to liken my fingers to þe gnarled branchs of a wizened tree. I have ſiþence returned þe ""BIC Criſtal For Her Balle Pennes"" and ſuffered my joyleſs fate. Perchance a more ſightly lady of grace will find þeſe to her likeing.",Sarah
466,5.0 ,29 Aug 2012,"Before BIC created a pen specifically for my dainty, moisturized hands, I used, and it sounds so funny to say now, man pens.",Lucy Ricardo Johnson
467,1.0 ,13 Apr 2013,"As a Men's Rights Activist I see this as just another example of how women are pandered to these days. The feminazis win again!!!!1!1!! Where are the special pens for MEN???? Why oh why oh why aren't they designing pens for MY needs. I've been lacking a large, virile, masculine pen for some time now.",mimicucumber
468,5.0 ,26 Jan 2015,"First Obama allows women to use the internet, then he sells them pens on it. Jesus H Christ what's next? Pretty soon they will start to write and then, watch out men, we are all doomed. Well, at least they will be writing in pretty pastel colours so we will know which writing to ignore.",J.P.
469,1.0 ,21 Mar 2014,We were out of regular man pens so my wife gave a couple of the less femmy color ones to my son for school.,discordian
470,3.0 ,29 Nov 2013,"Once you give women the ability to write, it will not be long until they will demand equality in the workplace, non-invasive health care and the right to vote.  Fie on you, Bic, fie on you.",VJM
471,5.0 ,12 Jun 2013,"I was introduced to Cristal a couple months back by a friend. She's beautiful. No, she's more than beautiful. She's exquisite, ravishing, so slender with just the right amount of curves up top. I could spend all day looking at her. I think about her subtle but alluring scent and the delicious delicate taste she can leave on my lips.",Todd Green
472,5.0 ,28 Jul 2014,I gave these to my girlfriend for her birthday and she absolutely loves them.,BangoSkank
473,1.0 ,10 Sep 2012,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Tom G.
474,1.0 ,29 Nov 2013,"Really!?  How sexist.  Where are the BIC Titanium for Him Ball Pen?!!  Come on, you know the Ball Pen made of Titanium,  with polymer grip for easy handling, laser target system for accuracy, vice-grip/bottle opener at the end, with optional condom/Viagra dispenser clip.  Oorah buttercup,  now I feel like fixing something.",Carlos Rico
475,1.0 ,29 Nov 2013,"I was so excited to get these pens in the mail, and imagine my dismay when I opened them up, and they do not repair things around the house or pay my bills. They also did not remember my birthday, or give me any chocolates for Valentines Day. Another complaint? The packaging was slightly damaged in shipping, which is just not acceptable and renders the product less valuable to me. Oh, and once I took one apart, there were no instructions on how to reassemble it.  Being a girl, obviously, I am visuospatially challenged, and was unable to retrace my steps. I had to throw it away!",J. Coons
476,1.0 ,08 Feb 2013,"If you're buying pens for your son, PLEASE READ THE GODDAMN LABEL.  Although I told my Mom I would like a pen set that included some pastel colors that did not give her carte blanche to BUY ANY OLD S***TY COLORFUL PLASTIC PEN SET SHE SAW IN WALMART.  I am extremely sick now as one of the boys in the locker room broke open the entire set and shoved the colorful ink all over my face and in my mouth while the other boys shouted ""taste the rainbow"". I think the ink is toxic and I've been looking for a pot of gold to appear in the toilet from my multi-colored piss!  To make matters worse I was supposed to be using the pens to draw a card for my valentine but she left me for another boy who writes with black BOLD gel pens which he now uses to draw penises on my face with.",Captain Shipdodge
477,4.0 ,12 Apr 2013,"Finally a pen for us ladies. It is easy to operate (as opposed to the normal pens which do require an education which ladies of course don't have), has a parallel parking aid (no more upset husband complaining about the bumps in the drawer), and really helps me draw pretty little flowers into my diary. Some of my girlfriends find it still too complicated though since it has more than two connected parts, but I'm sure the engineers at BIC will find a solution soon.",Dr. C.
478,1.0 ,01 Apr 2014,"They look so much better than ugly ""man"" pens that are just black & blue, and difficult for my feeble little woman hands to operate. As soon as I'm done cooking my husband dinner & serving it to him, I'm going to ask him if I can order these!!!",CharlestonMommyofTwo
479,3.0 ,24 Feb 2015,"It gives me a sad that the name on the pen doesn't have a heart over the ""I"" in ""Bic.""",N. Dunn
480,5.0 ,28 Aug 2012,Who would have thought that a pretty little gender-specific tinted pen could change my very life?,Minkiemink
481,3.0 ,28 Nov 2013,"I like the pen and it makes me feel very feminine. Also I find that, because I'm a woman and inferior, I'm not very good at writing, so the extra confidence goes a long way. I'm even writing this tapping away on the keyboard with my two fave ones, Pink and Purple. Speaking of which, can I return the blue, green and red pens? They're not very feminine colors. Also, there was no crystal at all in the packaging, only plastic. And no carats at all. I think that might be fake advertising. That's why you're only getting 3 stars. Shiny things are very important to a woman, and I think you might be using this to lure us into liking you. Bad boys!",Irma Zoulane
482,5.0 ,11 Sep 2014,"I don't care what anyone says.  I think these pens are great.  Once a month I usually get writers-cramps.  Switching to the ""For Her"" line really helps with the symptoms.",Lattimore
483,3.0 ,12 Apr 2013,"Now that you've made a pen for women, how about a spatula for men, since the ol'bag won't go anywhere near the kitchen anymore. I've had to open my own beers (which we are almost out of), and in a couple of weeks, will probably have to wash my underwear. I would be mad, but when I see her holding that lady-pen, something stirs deep in me, something I haven't felt since high school. Oh lady-pen, you naughty temptress.",Jim
484,5.0 ,28 Aug 2012,"Oh golly, I'm just waiting for my husband to come home from his long day at the office to see if I have his permission to order this dreamy looking pen! I wish I had this when I was a single gal and taking shorthand at the secretarial school nearby. Of course I had to quit all that silliness when I got married.",Ellen
485,1.0 ,02 Nov 2014,Finally!! A pen for my fragile little feminine hands! Now I can finally write grocery lists and diary entries without the fear of those bulky man pens hurting my soft little woman fingers... I cannot thank bic enough for creating this gorgeous product,Sasha h.
486,4.0 ,07 Apr 2013,"I have 2 kids, a 12 year old girl and 8 year old boy.",Pen Name
487,5.0 ,27 Aug 2012,"I've always had suuuuuuuch problems using the traditional Bic pens as a gay male. Classic Bics just didn't do it for me. I'm below average in size, so my hands are so small, and the rough texture of the barrel caused the most hideous callus on my bird finger. Oh my gosh, I'm not even going to MENTION the black and white color scheme. They say black and white go with anything, but they are soooo wrong. Now that they have ALL these colors, I can FINALLY use a pen to match my outfit for the day, and I don't have to worry about my hands getting all rough for when I go home to my man. He's sensitive. And the ink is sooooo smooth. I don't know how I ever learned how to write with how rough and jerky regular pens are. Half a year ago, I was drawing some hearts on my notes and the ball caught or something and I sprained my wrist when it got stuck. It's better now, but still tender and these Bic For Her pens are just what the doctor ordered for it.",Flurble McGurble
488,5.0 ,29 Nov 2013,"Being a woman, I find I have difficulty remembering important information for even short periods of time. I can't be expected to recall silly things like presidential election days or how to drive well when I have more important things to do like ironing my husband's shirts! Thanks to BIC Pens for Her, I finally have a way to write down all of the really critical things to remember! I'll never forget how to make a sandwich again. Thanks BIC!",Trisha
489,2.0 ,19 Sep 2012,"The product states that it has a thin barrel to fit a women's hand.  I'm a woman, but I have man hands.  Does this mean that I have to use a man pen??  Or do I use the lady pen??  This is too much for my lady head to comprehend!",GFunk
490,5.0 ,17 Apr 2013,"Surely the world's greatest minds and scientists (men of course) have been working on this for decades and - at last!! An instrument of freedom. I can't wait for some strong man to order it for me, so when it arrives I can spend my days drawing unicorns and ponies and swirls and practicing my signature ""Mrs. George Clooney"" - too dreamy!!",Twinsmom
491,5.0 ,06 Sep 2012,"BIC.... you have made my dreams come true! Before BIC Cristal For Her, I was having to use my son's crayons to write. After all, other pens are just too darn bulky and  the wrong color. When my husband got home from work the other day, he took me shopping. He surprised me with a pack of these pens! They are perfect for me. Slim, pastel, light enough for my delicate grip and smooth enough to not snag my pantyhose. I can finally pee sitting down AND I can use my pretty pens to doodle hearts and rainbows while waiting for my husband and son to finish dinner so I can eat whatever is left after they have filled themselves. You should put a warning on the package though. These are only for females. I heard from Judy down the street that her husband used one to sign a check and the next day he got his period! Thank you BIC. From me and all females..... Thank you.",LazyDazy220
492,5.0 ,22 Apr 2013,"Thank you, Bic, for finally addressing a problem many of us have been too embarrassed to talk about. These pens are a lifesaver for my writing -- it can now chase small children on the beach, lovingly stroke a horse's mane and flirt confidently with a handsome man who looks like an extra from a 1970s cop drama. Thanks to these pens, my writing no longer has to hide, worried about that ""not so fresh"" feeling. Thank you, Bic. My grocery lists have never felt so clean.",katsmeow422
493,5.0 ,12 Apr 2013,"My wife was a raging feminist,  a real ball buster.  I didn't know what to do.  Then I saw Bic Cristal for Her and I knew it was the answer!  I had to hide all the pens in the house and wait but the day came finally!  She was in a rampage about tampons being to phallic and decided to write a letter to Always but couldn't find a pen.  I slipped one in her hand and the change was instant. A glittery mist fell on her and when it lifted she was a 50's housewife.",Big Papa
494,5.0 ,05 Sep 2012,"As the BIC is designed for women & women are multi-taskers, Id like also to point out that therefore BIC can be used for multiple tasks.",Foster057
495,5.0 ,20 Feb 2013,"I have to say when I bought these pens I was afraid all my friends would call me a sissy boy.  Well you know what I was right.  But who cares.  I am a man and I am proud to say I use the BIC Cristal for her.  Now you might say ""why did you buy a pen designed for her?""  The simple answer is I wanted to get in touch with my feminine side.  This pen did the trick.  Now when I write in my diary I don't feel silly.  I have to also say since I started using the BIC Cristal for her pen I have started menstruating.  I know you might all think that is crazy but it is true.  Now I understand all the crap my female friends have to deal with on a monthly basis.  Like sore breasts, pain in my ovaries and lower back pain.  These are all symptoms I am willing to deal with because this pen writes so damn smooth.  It's like writing with butterfly wings.  It's truly amazing. I now want to own a unicorn and sing folk songs.  I recommend these pens to anyone male or female.  They are the bees knees.  Buy them before I get them all.  I have found so many other uses for these wonderful pens.  Such as a toothpick (I have a huge gap in my front teeth), a weapon just in case someone attacks me from behind, to scratch the inside of my ear and also to get all the lint out of my bellybutton.  5 stars all the way",Super Sassy
496,4.0 ,08 Nov 2014,"As a father of a little girl and a husband I say Bravo to BIC on creating pens ""for her"". It's about time that women had an alternative to writing with pencils and pens designed by men for men. These pens provide women with the ability to write, even with lotioney hands and manicured nails. The bright colors also allow me to see when they're trying to write without my permission. Although I obviously have never used these pens my wife asked if I would review it for her since she isn't allowed to use the Internet unsupervised.",Felicia Delaney
497,5.0 ,28 Nov 2013,"These are wonderful!  For so long I've had to endure the misery of harsh blacks and unyielding blues whenever I needed to sign a card or write out a check.  Now I can truly write with pleasure as I use a pen made for women with its soft gentle hues.  Thank you so much, Bic!",Ladybard96
498,1.0 ,09 Apr 2013,"I must say, I'm surprised by all the good reviews.  I've found the Ball Pens for men to be sturdier and better for off-road writing.",ChicagoReader101
499,1.0 ,28 Aug 2012,"What do men have left?  Today's women are voting, getting paid to do work, and now WRITING?!?  At the bar the other day, my wife asked for a beer instead a wine cooler.  My buddy heard that there are female golfers in many parts of the country, and most clubs let them play on the same course as the men.  At an intersection the other day, I saw a woman in the driver's seat, and not because she was sitting on a male driver's lap.  As if men hadn't been stripped of everything good already, BIC steps in and piles on by encouraging women to learn to write, just like their male counterparts.  WTF, BIC?",JohnnyTubesteak
500,4.0 ,29 Aug 2012,"Ladies out there with bunz in the oven you have to try this--it totally works!  You can use your Lady Bic to find out the gender of your baybee.  It's even more accurate than an ultrasound.  As soon as you know you are preggers, you can pee on the LB and if it turns dark pink you are having a girl!!!  If it turns into a thick white and black pen, you are having a boy.  If it sparkles, you are having a Cullen!!!!!!  We tried this in my moms group and it worked for every one of us 100% scientific.  The only bad thing is they don't write very well after you pee on them, that's why only 4 stars.  :(",Salma Gundi
501,2.0 ,12 Apr 2013,"Approximately once a month these pens get very irritable, and will bleed ink profusely for three or four days in a row. During that time my hand gets horrible cramps while I try to write with them. God only knows why anything would be designed this way.",Loren Sandboe
502,4.0 ,12 Apr 2013,"I purchased these because of the colors. Some of these are my favorite colors. Some are not. That's why I had to minus one star. I opened the packaging so that I could display them in my home. Then things got a little confusing. One of the caps popped off, revealing a black tip. Huh? I touched the black tip, and it smudged black paint onto my finger. At first, I was upset. What a mess! But then I got an idea. I could smudge the paint onto other surfaces as well. I tried many surfaces throughout my home. It worked well on the walls, inside my husband's books, and on some fabrics. Before I knew it, I was smudging this black paint all over the place. I have to admit, I wasn't thrilled with the black color, but the freedom of it all was incredible. I even began recreating the letters that I use on my computer. I'm still practicing my technique, but I think that I'll soon be able to write my maid a check for her years of service. She's been asking for quite some time. What I really like is that I'm able to create virtually any shape I can imagine. I've been creating small, simple pictures to represent my feelings and experiences. I showed some of them to my therapist. He seemed concerned at first, but then he asked me to bring more of these pictures to our next session! So I think he likes them. He was probably just worried that I, a woman, was using black paint instead of a more feminine color.",Emily
503,3.0 ,12 Apr 2013,"I don't mind saying that I have ""man hands"".  I AM a woman...with big, obnoxious hands.  When I used one of these pens, it got lost in the palm of my hand and when I tried to write a simple letter to my Aunt Beatrice with one of them, the words I wrote made no sense.",Gneeree
504,1.0 ,28 Aug 2012,OK. I don't even know where to start.,Amante Reale
505,2.0 ,27 Aug 2012,"WARNING, DO NOT USE THIS PRODUCT FOR EXTENDED PERIODS OF TIME!!!",Anonamoos
506,1.0 ,28 Aug 2012,Women do not write. Look at some of our greatests writers like George Elliot. If women were meant to write then they would be equipped with a frontal cortex and thumbs.,Nether
507,2.0 ,22 Oct 2012,"I was always trying to break that glass ceiling at work.  Working hard long hours like the boys to get noticed and appreciated by upper management.  I spent years watching in pain and sadness as the boys got pushed up to the top while I was left behind, having to not only do my job but perform theirs as well.  Then one day I noticed all of the boys getting promotions had something special.  Something powerful.  A tool that was very mysterious and forbidden to the girls in the office.  This tool I believe was what one calls a ball point pen.  Very sinister in nature and when the boys pulled it out to sign our checks, black and angry blue lines came out. Then a friend sent me the link to this website and said that girls can have the same power as men and it was in this tool called BIC Cristal for Hell.....I mean for her!  So I ordered it and within a few days I had this powerful colorful but very feminine set of pens in my possession.  After a few days I began using it.  I started jotting down little notes to myself about the womanly chores I had to do when I went home after work.  You know the kind of chores that women do, taking out the trash, chopping down trees for fuel, it's going to be a long cold winter.  That sort of stuff.",Linda Lou
508,3.0 ,28 Aug 2012,I was so excited to get these pens. I had been looking at them for a while. It's great to finally be able to coordinate my pens with all of my kitten heels! I feel so much more put together when I'm doing the weekly grocery shopping.,amberly
509,5.0 ,15 Apr 2013,"BIC Cristal For Her Ball Pens were the catalyst for the most major self actualizing moment in my life.  Growing up in a rural mining town, I was expected to get married, have babies, and only speak when spoken to.  While waiting in the checkout at the local SuperValu, I noticed the woman ahead of me was writing a check with a BIC Cristal For Her Ball Pen.  Amazement struck me.  Perhaps, if an enormous company like Bic believed that a woman was good enough for her own pen, maybe I, as a woman, just might be good enough for other things as well.  The BIC corporation believed in the power of my femininity, and for the first time I felt as though I could make something of myself.  I am now in med school, and as long as BIC continues to make Cristal For Her Ball Pens, I will know that I have someone in my corner.",Med Student
510,5.0 ,08 Apr 2013,I've lost 4 stone of belly fat since I started using these! And thank you for the pastel colours that go really well with my bag and shoes.,Lisa Loads
511,5.0 ,20 Apr 2013,"It's not all the time that I write a review for a pen, more less for anything. I ordered these and instantly they changed my life! Not only as a man did I feel more powerful, but I gained respect from everyone in the office!",Cory
512,5.0 ,16 Sep 2012,I really don't know what all the excitement is about.  Freud told us all years ago how women have a pens envy.  It's only natural something like this would eventually happen.,R. Aubry
513,4.0 ,03 Apr 2013,"As a man, using one of these pens was obviously quite accidental on my part.  I was alarmed to discover that, upon waking this morning, I was wearing very delicate pink panties and a pair of heels in my size were waiting for me next to my side of the bed.  Can anyone tell me if this a common side effect of using BIC Crystal For Her Ball Pens?  PS:  The matching bra is a perfect fit.  (Thanks!)",november
514,1.0 ,12 Apr 2013,"My goodness.  I don't know how I ever lived without a pen made especially for my delicate female hands.  And in such pretty shiny colors too.  Everyone knows that women are just like squirrels and we absolutely must have pretty shiny objects.  Heaven forbid we try and write with just a simple regular black or blue pen.  Why, the depression of such a fate would be enough to cause one to give up writing altogether.  Thanks to Bic for it's crystal shiny clear understanding of how to market to women and provide products that we so desperately need.  And for Bic's lack of condescension and patronizing efforts to create something for us poor delicate females and in solving such a monumental problem of huge, big, unwieldy, and plain masculine pens.",Shar Chrysler
515,5.0 ,27 Aug 2012,"Thank you, Bic!  With these pens in hand I can finally find my place.  No more struggling as a fine artist and designer, now I can do what I do best: writing color coded ""To Do"" lists and drawing unicorns.",Amazon Customer
516,1.0 ,20 Apr 2013,"Seriously, Bic? Surely a man came up with this idea; A pen for women with black ink?! Where's the purple sparkly gel? Even a prettier blue would have been nice! But BLACK!! Here I was thinking we gals were finally going to get he equality we've been fighting for all these years. No smiley face heart shapes for you!",Gypsy Girl
517,5.0 ,29 Aug 2012,"I was a white 18 year old male. Life was great. Television marketers cater their programming toward me and what I like. Women spontaneously presented me sandwiches while gyrating suggestively, all for my enjoyment. One day, I needed to jot something down, possibly my preferences for the dinner that my concubine should prepare for the night. I accidentally grabbed one of these pens from a feminist seated near me who does not shave her armpits and reads from Gloria Steinem's writings at impromptu moments. As soon as I made contact with the fruit-scented, gentle yet firm writing utensil, I could feel my male anatomy reforming. I am now frequently menstruating and I am in my 4th pregnancy. I have a newly found pride in my gender, and I attend pro-women meetings and discuss recipes and 50 Shades of Grey with my girlfriends. This is the best way to change your gender in case you desire to be a female. After all, it only takes the usage of a product that is SPECIFICALLY and ONLY for women to make you a woman. Thanks, Bic! You saved me thousands!",Jonathan Novak
518,3.0 ,08 Nov 2014,"I've always had a hormone imbalance, with too much testosterone that caused me to have hairy arms, back and butt, deep voice and bold shoulders- since I was a child. I've pretty much been on hormone balance treatments my entire life (since I was six years old). After only one week of using these, the hair on my but, back and arms have reduced to a level that now feels lady like and feminine. My voice now not only sounds sweet and soft, I can also sing like a Disney princess. Dresses that I could never pull off wearing, now drape down and wrap around my hips, flowing around me like an American Kate Middleton. Since I started using these, not one person has questioned my gender. The panic attacks are gone, I can sleep through the night, and my allergies to peanuts suddenly disappeared too. These are miracle pens!",Sara Rose
519,1.0 ,13 Apr 2013,"I got my girl pen home only to find out it had a pen is. It is actually an LGBT pen and was displayed in the girl pen section. I am so confused by all of this. I liked it better when we didn't identify ourselves by our sexuality and a pen was a pen, loved by all no matter what the gender.",Maura
520,4.0 ,29 Nov 2013,"As someone born with female genitalia my desire to live as a man has been a constant source of strife for me. Well let me tell you what! My pastor slipped me one of these pens while I was visiting him the other day at his church office and everything changed. You see I was seeking the guidance of Jesus (Praise him eternally!) and my pastor handed me a piece of paper and a ""pen"" and asked me to write down the wishes I wanted Jesus (Hallelujah! Praise him eternally!) to grant me. He said Jesus (Glory! Hallelujah! Praise him eternally!) would grant me up to three, and no fair wishing for more wishes! But, before I even put pen to paper I felt a change come over me. Suddenly my genitalia and my personal gender identity became as one! Thanks Jesus (Glory! Hallelujah! Praise him eternally! He brings home the lost sheep!),and Bic but I got my wish. I am a woman through and through. 4 stars because the pen itself tends to dry out pretty quick if you don't keep the cap on it, then you know it just digs into the paper instead of actually writing anything.",Elizabeth Swanser
521,3.0 ,28 Nov 2013,"I love the pens for her but feel that you've left out several women. These pens cater to women who look good in ""spring"" colors. However, I am an ""autumn/fall"" and the colors that accentuate my features best are mustard yellow, browns or rust colors. I would love to see pens for her customized and designated ""summer, winter, fall, or spring."" 3/4's of women are being left out in a very unflattering way. When I write in my recipe book for the fall holidays I want to be presenting my best look. Thank you!",Michelle P
522,1.0 ,16 Sep 2012,"Dear Mr. Bic,",Melissa J. Delbridge
523,5.0 ,30 Aug 2012,"I am left-handed.  I hold my pen like a claw.  I often smudge things.  ""Hi, loser.""  However, after picking up a pack of ""Bic for Her,"" I suddenly became right-handed.  I hold my pen between my pointer finger and thumb, like a proper lady.  I no longer smudge things.  People stop me in the street and marvel at my penmanship skills.  I would write more, but I have a pie in the oven and three hungry kids to feed.  They're not even mine.  They just randomly show up for pie.  Ah, kids today.  Thanks, Bic.  (Insert hair flip.)",Nat
524,5.0 ,25 Sep 2012,"""It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife with glittery pens."" Having bought us these pens, our mother was delighted that Jane and I made such wealthy matches. The glitter of the pens emphasized Jane's natural beauty, making Mr. Bingley instantly attracted to her. Despite his initial arrogance, Mr. Darcy, having realized that I used the pens to draw pictures of his estate, Pemberly, ignored the demands of his aunt, the Lady Catherine de Bourgh, and proposed. Too bad our mother did not buy the pens sooner, or Lydia might have made a more advantageous match. Soldiers do not appreciate glittery art.",elsiedee
525,5.0 ,27 Aug 2012,"After my manly husband came in from hours of shooting deer, he decided he wanted to start writing down the size and weight of each game so he can keep up with his accomplishments. Seeing all the blood and dirt on his hands, I simply suggested to help him by writing it down for him (please don't call the authorities, I simply wanted to help my husband). He nearly lost control and had to contain himself from laying a hand on me. I slept on the couch that night. We never brought up the subject again.",Shella M.
526,5.0 ,18 Mar 2013,"Thank you, BIC.  As a child, upon hearing the very first Madonna single, I decided to become a gay.  Over the years, I enjoyed the disco, fashion, gossiping and being fierce.  However, I was always plagued with the inability to write - especially with pens.  I learned how to write in school but my limp wrist was unable to hold those dastardly and manly BIC pens.  Other kids made fun of me.  I was ashamed and felt like I could never show my face in public.  I longed for the chance to become a BIC Boy.  Now that I have this product by BIC, I can personalize and hand write all of the invitations to my brunch events, send thank you notes to the curators of avant-garde art shows and place those tricky hearts next to my name on checks and love letters to Zac Efron.  Again, thank you from the bottom of my glittery heart.",SWB3
527,1.0 ,12 Apr 2013,"I consider myself an open-minded gent, so I thought I'd give these pens a whirl. The trouble started immediately, as I tried to write down my phone number for a client. I was immediately overwhelmed by the fear that he might think I was a slut, and I had to demure and run away giggling. Losing that account cost my firm 1.2 million, easily. Later, I was making an outline for talking points at the board meeting, but found I couldn't think of anything to say due to the twinkling light reflecting off the pen and highlighting my cuticles. I spaced out for the remainder of the day, and when I came to, I was alarmed to discover that instead of coming up a quarterly investment strategy, I'd signed my own name thirty times, in increasingly elaborate script with more and more outlandish creatures surrounding it. I have also been unable to go to the lavatory by myself for two days.",Peter Welch
528,5.0 ,28 Aug 2012,"Indeed, the BIC pen is mightier then the sword! Who knew that BIC would become the champion of our society with a product that will bring about the demise of those nasty Liberal Feminist women!? Who knew that a petit and properly feminine writing impliment would make my dreams a reality and rid this world of those blasted liberated types that work outside of the home and wear trousers?! My heart swells with delight as I type - BIC For Her is the final nail in the coffin of the decadent Western pop culture because women will soon be reminded of their inferior social status and firmly returned to their rightful place! Buy these pens, my sisters! Buy them and gloat: if women cannot handle normal manly pens then why should they be allowed anything??",Michelle Therese
529,5.0 ,27 Aug 2012,"I was so tirwd of writimg with penz meant for men and finall7 someone made thi5 proct8... damm!t!! This stupid keybrd is clearly$ made 4 guys I can""t work the ke7s rught with my delicat2 lady finger5 why won""T Bic make a comuputer keyb4rd for wom3yn? Shoot. I giv up!@!!",Suzanne C
530,5.0 ,13 Mar 2013,"I just could NOT believe all the rediculous claims made in prevous reviews.  I had to see this for myself.  After many years of rough dry skin, unmanagable hair and very large hands I had to try something!  My first experience was something I will never forget the warmth I felt travle from my extremities to my spine and the shiver I felt when I finished a sentence.  The most amazing part is what it has done for my lower body!  Never mind the tremor it leaves in my lady parts or the tingle in my thighs, my cellulite literally packed it's bags and left! After 22 years AK (after kids)... The most exciting event happened just the other day after a rather ""bad"" side order of refried beans with my wet burrito.  I had to, well, ""Fluff"" if you know what I mean and Glitter actually shot out of my...",C Hope
531,5.0 ,11 Jan 2013,"It has been said ""the pen is mightier than the sword"" as far back as the mid 1800's. At that time the pen is, obviously, exclusively the province of males - unwieldily and delicate quills that had to be kept out of reach of women (lest they become tainted with knowledge or impure ideas about tickling). Illustrations from the early 1900's show the design of the newer, fountain pen is clearly also inappropriate for women, being far too phallic and obviously capable of tempting the weaker sex to sin. Truly a mighty tool, the modern ball pen is, and has been for decades - but now thanks to this innovative technological emasculation, women can now handle these impressive instruments without fear or revulsion... and without concern as to whether the pen is leaking in their trousers, maybe causing an embarrassing problem! The very idea that every woman on earth can now have a ball pen is - well it's nothing short of revolutionary! Congratulations Bic, Cristal for Her Ball Pen is - well, it's the ultimate pen isn't it? :D",Addam Rae Wolff
532,5.0 ,08 May 2015,"After using these pens, I couldn't help but to sit with a tub of ice cream and rewatch all 10 season of Friends. I feel really at touch with my feelings after using these pens, it's amazing! Instead of just feeling macho and entitled, I felt beautiful and frilly. I actually used this pen to write down all the moods I had today, 10 in 2 minutes, fantastic. Never have I ever felt so in touch with myself before so thank you BIC. You really showed me what I needed in my life, I feel so complete now. Now I gotta go ditch all those stupid footballs and go buy myself some make up and hair products.",Draven
533,5.0 ,29 Aug 2012,"As a trained psychologist, I know there comes a time in every woman's life where she looks over at the man next to her and realizes she doesn't have his pens. This psychotextual trauma is unfortunately uncurable. That is, until now! Ladies, Freud was a Fraud! There IS hope, a cure for Pens Envy!",Being a Pens
534,1.0 ,28 Aug 2012,"As a human resources professional, I feel obligated to point out that these pens may violate the law. Many jobs are required to be open to men and women alike, but sneaky interviewers have always found ways to get around this by covertly observing gender specific attire, shoes, hairstyles, etc. Years of sanctions have made it more difficult for corporate America to bypass the legal protection provided by the laws, but this pen gives the unethical interviewer a new way to discover if it's a man or a woman being interviewed. If you really can't tell if the applicant is male or female, all you'd have to do is put out some of *these* pens as well as some of the ""guy"" pens from any manufacturer, and wait to see which s/he chooses. Tsk, tsk, tsk, Bic! We see what you did there!",ELK
535,1.0 ,17 Oct 2012,"If you're thinking about buying Cristal For Her Ball Pen, be warned.  The pens are defective.  They DO NOT, as the name implies:",blearyeye
536,1.0 ,10 Nov 2014,Horribly disappointed!  I had to send these back as they just couldn't tackle the stubble on my legs. I tried every which way but they didn't seem to work - just left streaky lines all over my shins.,Mama Jama
