,index,Unnamed: 0,review_rating,review_posted_date,review_text,review_author
1180,680,680,5.0,16 Jan 2013,Find your love for bananas again!,Pennylovaa
1181,681,681,5.0,16 Sep 2012,This is so much better than the metal one. The doctors were not able to reassemble my finger after I slipped while cutting bananas with the metal version. I don't think they even had the pieces in the right order. With this one an error while slicing is hardly worse than 10 paper cuts.,Nombre de Pluma
1182,682,682,5.0,05 Apr 2013,"Back when I was growing up, my dad would drink. Some days weren't so bad. But some days were. When he was really bad, I'd do things to get in trouble and make him mad, so he'd go after me instead of my mom.",Alex K.
1183,683,683,5.0,13 Jan 2013,"This is the best banana slicer I have ever used.  In fact, I rub it on my elbows when they itch, causing a postassium-enriched reaction across my ribcage.  The only time it happens is when I do this.  I'm feeling lost.  And scared.  And fat from all of the bananas I have consumed while listening to Willie Nelson.  Please tell me I'm beautiful.",S. LaBenne
1184,684,684,2.0,09 Jan 2013,"Went to slice my banana, and the banana was too big. It should really come with an extension or something. I had to just bite my banana, like some kind of savage. Then my bites were too big and I almost choked, which is why I needed a slicer to begin with. I could've died! Can you imagine that obituary? ""He choked on his banana..."" Embarrassing. Until slicer technology catches up to the variety of sizes and shapes of sliceables, I'm going to have to just give up bananas. Maybe give plantains a shot. Banana's little brother.",Horace
1185,685,685,5.0,23 Jan 2013,"When I was a child, my step-father would cut Bananas for the Corn Flakes.  It wasn't something he loved to do, but I asked him to do it, and he loved me, so out of his laborious love, he did.  This was my favorite aspect of every Saturday morning...YuGiOh! Was on TV in the living room, the sound of my favorite cartoon echoing off the living room walls and the hard-wood floors of our suburbia kitchen, the chirping of birds and the hustle and bustle of commotion that a typical saturday morning was for my older siblings.  Step-Dad labored intensively over the Corn Flakes, skillfully and precisely cutting each slice of the banana so that it evenly dispersed over the otherwise bland and generic Corn Flakes.  The day had already been planned out. While we were waiting for my older step-siblings (who loved me as though I were their little brother in blood) to finish their athletic events for the day, Step-Dad (who, in turn, loved me as his own son. Bless him. I never knew my real dad.)  and I would go to the local Go-Kart track and have a few races around the figure-eight raceway.  Afterwards, we would take a few swings in the batting cage and maybe get some ice-cream if we had the time.",Marc
1186,686,686,1.0,12 Jan 2016,DO NOT BUY THIS VERSION!!! I recently attempted to slide my banana and it exploded causing potassium damage to half of my kitchen.  I contacted the company in regards to the defective slicer and they informed me that the new version will be less volatile.  Always wear safety gear when slicing your bananas!,Steven M.
1187,687,687,5.0,13 Dec 2012,"I am 53, so needless to say I am very experienced in banana slicing. I have to say that the Hutzler 571 is the standard that I will measure banana slicers by from now on. I will be giving these to all the ""special"" people on my gift list this Christmas. We are truly blessed to be living in this age of endless technological wonder. I cannot imagine what my grandfather would have thought had he lived to see this.",Dennis S. Cooley
1188,688,688,5.0,09 Dec 2013,The tide has turned.,Michael Marmont
1189,689,689,5.0,18 Apr 2013,"I see that a lot of these reviews do not take this product seriously. I have to say, this product saved my life. It is fine craftmanship that deserves recognition, and not to be ridiculed by you people. I am a systems engineer for Federal Express, in my postion I travel around the world to make sure Fedex is up to speed on their deliveries. I do this by overseeing and advising staff that their sorting processes are sufficient. Just recently I took a trip back from Moscow to my homebase in Memphis, TN. There I was given an unexpected call to go to Malaysia. I hitched a ride on one of the ""jump seats"" of a FedEx jumbo jet crossing the Pacific Ocean, and was the only passenger. During a fierce storm, the plane was blown off-course and ultimately crashed into the ocean. I the only crash survivor, washed up on to the shore of a small tropical island. I explored the island, and recovered a number of FedEx packages that came ashore from the jet crash. In those packages I only found a volleyball that I eventually named Wilson, and nothing else of any use except...the Hutzler 571 Banana Slicer! There was a significant cultivation of banana trees on the island, but I didnt have a knife to cut the bananas. I was going to object myself to peeling the banana and eating it with my hands, but what kind of animal would I be if I resulted to that? Because of the Hutzler 571 Banana Slicer, I was able to consume the neccessary potassium to survive on a deserted island. I owe this product my life!",C. J. Smith
1190,690,690,5.0,08 Apr 2016,"As soon as he saw this, Theon Greyjoy fainted.",Steve
1191,691,691,5.0,31 Dec 2012,"I suppose that if you are like me (and I know I am) this life-changing implement comes at a welcome juncture in the ascent of our species. Until now, my family had no reliable means of slicing bananas. Pointed sticks proved too dull and spoons left an awkward concave-convex formation. Ultimately, we made do with sharpened stones. My neighbors in the suburbs split into two camps: some used steel wire while others pulled them apart. Not surprisingly, this extraordinary difference in how to properly slice a banana led to social, political and even religious strife, dividing my neighborhood into two warring factions to the point that block parties and folk festivals had to be cancelled for fear of violence.",Dennis B. Roddy
1192,692,692,5.0,05 Apr 2013,"Not all banana slicers are the same, do not be fooled by similar cheaper products, as I regrettably was.  I thought the banana slicer I found on a cheaper website would work just as well but when I saw the job the Hutzler 571 did compared to my imposter I was gutted to say the least.  There was nothing to do but give the imposter banana cutter to the Good Will and buy the real thing instead.  Since purchasing the H571 I feel I can hold my head high as I demonstrate for friends and family how well I can cut bananas.  Some might call it bragging or showboating, I just call it good sense! Remeber the Hutzler 571 is the only way to go for your banana cutting needs.",Julia Danielsson
1193,693,693,5.0,09 May 2013,"Hutzler 571 is an ingenious product on its own!  Those who haven't had it yet are truly missing out.  Originally, I bought this because I was worried about my mother.  She loves to eat bananas and has at least 10 bananas a day.  The way she eats the banana truly has be freaking out and on the edge of my seat with each bite she takes.  The poor scatterbrain, the old noggin upstairs isn't working that well anymore, I must add, attempts to eat it whole.  I keep pestering her to slice into bite sized pieces so I never have to worry that she chokes on her favorite fruit; but she's terrified of knives after my similarly demented father cut his finger off a year ago trying to cut his apples up into delicious edible morsels.  The sight of the blood was too much for my mother and now she eats her bananas whole.  I just don't have enough time in my day to watch her eat 10 bananas carefully and I knew I needed a solution.  Hutzler 571 saved my mother's life.  She now has confidence in eating bananas without having to use a knife and; lo and behold, I have so much free time and I can finally get back to PhD work on the effects of wallpaper designs and colors on a person's emotional well-being.",Cristina de los Santos
1194,694,694,5.0,05 Apr 2013,"Depressing, Meaningless, Messy. These are just a few words that would describe my life before this immaculate device from the heavens entered my life. Due to my inability to properly slice a banana, my life has been a dismal downward spiral of depression and mushy banana. My wife left me, my boss fired me, and my dog took half of our stuff. All seemed lost until, as if by some miracle, I happened across the 571 Banana Slicer, and my life has gotten significantly better. Since my initial use of the 571 BS I have met an amazing new woman that I am currently engaged to, become the CEO of my own banana based company, and I have gotten a cat. Not to mention that I have had some of the greatest slices of bananas I have ever tasted. All I can say is thank you Hutzler 571 Banana Slicer, thank you.",Seamus Mackey
1195,695,695,5.0,07 Apr 2013,I was given the unfortunate news that I had developed cancer. 6 months later I ordered and received the Hutzler 571 banana slicer (discreetly packaged) in the mail. At my next doctor's appointment no trace of cancer was to be found! Coincidence? I think not.,Kristina
1196,696,696,2.0,29 Nov 2012,"After purchase I realized that this banana slicer only worked on bananas that bend to the left. I couldn't find one online that bends to the right, so I called support. Unsurprisingly, like everywhere else, they seem to have outsourced it; whoever was on the line didn't even speak English - it was just EEK-EEK! OOK-OOK! OOH-OOH-OOH-AAH-AAH-AAH!!! Would not buy again.",Sashy
1197,697,697,5.0,05 Apr 2013,"When I first heard about this ""banana slicer"" I thought it was just too good to be true.  I mean things very rarely work like they are supposed to.  Take for example the mandolin slicer with the finger protector vegetable grip.  I will have you know my guests got little chunks of my knuckles with their grated parmesean cheese.  That's a different review entirely.....  Back to the banana....  I got one of these dandies because I thought to myself maybe the reason I'm allergic to bananas is because I am just eating them fresh from their yellow husks.....  I NEVER thought to try slicing them and eating them!  So as I peeled away the outer shell of my first banana....  I relished in the fact that I was about to eat uniform slices and yummy goodness that wouldn't make the inside of my mouth peel out or cause my eyes to water and my cheeks to swell up like balloons....  So as I slid the slicer down the top of that ripe, plump banana.....  I could smell the potassium as I sliced thru it's soft fleshy fruit......  I picked up the uncut ends and threw them away.  Because let's face it..  I just can't put uncut banana ends in my mouth.  I reached for my first uniform slice and greedily put it in my mouth.  I closed my eyes and began to chew slowly.....  I reached for another slice and then another until I had eaten the entire banana....  I was hungry for more...  So I reached for another plump yellow fellow....  And that's when my throat begin to itch.  My eyes started watering and then the burning in my mouth began.  I stumbled around looking for my purse and found my epi pen.  As I thrust it into my flesh I shed a single tear....  I'll never be able to put that fleshy fruit in my mouth again...uniform slices or not...",Josie Posie
1198,698,698,2.0,16 Aug 2013,"Life wasn't all Korbel champagne and Hungry Man dinners like it is today. Back then, I had to scrimp and save for everything. My full time job as a newspaper delivery person didn't pay a whole lot. Luxuries like food and toilet paper were at a premium. I generally had to put aside two week's worth of tips just to buy enough food for two days. Unless, of course, old Mrs. Fezziwig gave me a little extra in my tip because I would put her paper in a place where she didn't have to bend over to get it.",Joseph C. Meditz Jr
1199,699,699,5.0,11 Feb 2013,"Do you have one that is motorized?  This slicing motion is hurting my wrist and my doctor has informed me that I should limit all unnecessary banana cutting motions.  I mean, they make electric can openers,don't they??",ZippyBippy
1200,700,700,5.0,16 Apr 2013,"Slices bananas perfectly, of course.  There's three thousand reviews on here that will tell you that.  But here's some NEW news:  This think can slice other things, too, especially if they re roughly banana shaped.  Think about it. Are you with me yet?  Hint:  Hot dogs, boy!  oh, and by extension, sausages.  BUT WAIT!  THERE""S MORE! Hard boiled eggs, two at a time, three at a time, even.  Straw berries.  Melon balls.  Doughnut holes.  All kids of stuff.",Smack
1201,701,701,1.0,22 Jan 2013,"Blades far too sharp for a perfectly ripened banana. I nearly chopped off my whole finger! And if that wasn't bad enough the color of the 571 has gotta be three shades darker than a banana, talk about tacky. Trying to impress my newly gained friends with my 571 all they did was mock the color. Now they refuse to come over. The edges of this ""modern marvel of a kitchen tool"" has no decent grip to it so all I do is find myself picking it off the ground after I drop it, over and over and over again. Don't waste your time or money, they should pay us banana lovers to even consider using such a crime to the banana world. The more I use it, the more I loathe bananas which drives me into a deep depression. Turn back now, waste not a second longer. Don't say you weren't warned. Banana lovers unite against this crime. Find a real tool at [...]",77banana
1202,702,702,1.0,15 Jan 2013,"I read a review about this product saying that it was an ""easy carry on"" item. As a banana fanatic, I thought ""Wow! What easier way could there be to eat my customary bunch of bananas while on my flight home to Iowa?"" For me it was a must-buy. Imagine my surprise when I am going through the TSA checkpoint and an alarm goes off. Next thing I know, I am flat on my stomach, two overweight men pointing tasers at the back of my head, with Billy Bob going to town behind me with the glove.",Frostie
1203,703,703,1.0,03 Jan 2013,"I used to feel safe and protected in my little cocoon.  I only had to worry about the occasional butter knife and dull human teeth.  Until one early morning when I peeled my eyes to see a frightening death trap.  The Hutzler 571 is really a fruit guillotine!  Never again will my friends and I be able to rot in peace.  We will literally all be in pieces.  So you ravenous humans, while you unleash this sadistic device on me and my fellow fruits, know that although you won't hear our screams, we will get our just revenge!  As you walk unassumingly down the street, beware that our carcasses are waiting to give you the slip!  Be afraid!  Be very afraid!",Rosey
1204,704,704,5.0,07 Aug 2012,"Before I bought the Victorio 571B Banana Slicer, I had no friends. Whenever I would try to slice and eat my banana with a fork, people would make fun of my uneven slices. Whenever I tried to bite it off, I got even more awkward stares. Needless to say, this product truly changed my life. Now, I can eat my perfectly sliced bananas AND have friends. Thanks Victorio!",dapro
1205,705,705,4.0,10 Apr 2013,Its high time I admitted it -- I am banana-tarded.,pmurray-tempeaz
1206,706,706,5.0,12 Feb 2013,"Three years ago, I was diagnosed with acute plantainslicitosis and my doctor said that if I didn't slow down my banana slicing habit, I'd be dead in 6 months.  Over the next week I don't think I slept a wink as I struggled, tormented by the choice between sliced bananas and life itself.  Enter the model 571; life looks a lot different for me these days.  I found the model 571 (or ol' fiver as I like to call it) while doing some intensive research on one of those sleepless nights, and now I've made a full recovery and I'm loving life more than ever!  Trust me, if you suffer from plantainslicitosis, or know someone who does, give ol' fiver a try.",Slick
1207,707,707,5.0,23 Nov 2019,When the going gets tough...,Amazon Customer
1208,708,708,5.0,03 May 2014,"Sometimes I go to a darkened room, unpeel a banana, and push the Hutzler 571 Banana Slicer until it is just half-way through the banana; and then I allow myself to be engulfed by an overwhelming sense of incompletion.",Mookie
1209,709,709,3.0,31 May 2013,"It said nothing about peeling the banana first. Once I figured that out I could not hold the banana and use the slicer at the same time, it made a squishy mess in my hands and lots of it just fell on the floor. I even tried throwing the banana up in the air and letting it fall on top of the slicer hoping it would fall out in slices but now I just got bananas stuck to the ceiling. Then it dawned on me, USE THE CUTTING BOARD!! Well, I placed the slicer on the banana and pressed down with the cutting board but it just squished the whole thing. I'm returning it.",Liquidrush
1210,710,710,3.0,21 Dec 2012,"A lateral banana slicer ? When a realistic ethnographic review of our nation would reveal a landscape populated with both ""lateral"" and ""longitudinal"" preferences ?  Really ?  Is this the best that Hutzler can do ?",Don Keefhardt
1211,711,711,5.0,09 Jan 2013,"Hurry and buy as many as you can! Obama plans to start banning these now that he's been reelected and they've got some momentum for support in the media. I know the National Banana Association plans to fight this in court, but it's up to us as citizens to know our rights and exercise them! In Texas, pretty much every one of us carries a concealed 571B banana slicer or uses them for hunting. I'd love to see them try to come take our 571Bs down here! And everyone needs to stop calling it an ""assault"" banana slicer. A 571B is just a 571B. ""Assault"" is what you do with it. Law abiding citizens do not assault people. We protect ourselves and our loved ones. Remember, if we let the government take our banana slicers, then the only people who will have them will be the criminals.",Biff
1212,712,712,4.0,05 Apr 2013,The Hutzlet 571 Banana Slicer is the greatest invention since sliced bread!,Bob
1213,713,713,5.0,27 Feb 2013,"One may think it's just an ordinary banana slicer. Looks like any of hundreds on the market. Functions like any of hundreds on the market, but this one is different as with most products manufactured by the Hutzler Corporation.  Let me explain.",Big D Scotty B
1214,714,714,5.0,08 Dec 2012,"I love this product!  Thanks to the Hutzler 571 banana slicer, I no longer have to swallow my bananas whole.  Just a hint, it does tend to work better if you can find some way to remove the pesky outer covering.  If only the same company could invent some kind of device to help with that...",m4
1215,715,715,3.0,29 Apr 2014,"Actually received one for Christmas last year. It is my suggestion that it be reproduced in a multitude of colors for use as Christmas ornaments. What a fabulous themed tree one could create, hanging the colored slices in OCD style (all of the same color facing the same direction); random style (whatever color wherever you want it); or ""Find the special slicer"" style, hiding a red one in a special place on the tree. Also great for family tree-decorating parties as everyone could hang their favorite colored slicer on the tree. As for use as a banana slicer, sorry . . . I don't like the thick slices, thinner is better.",golfin' Nana
1216,716,716,5.0,06 Jan 2014,"This banana slicer saved Christmas for me this year. Every year at work we have a holiday party, and this year I got stuck with making an appetizer tray of fresh fruit. My boss said that I absolutely had to have bananas on the tray because that's his favorite fruit. That night I became so stressed about how to please him that I didn't sleep at all. My husband then came down and showed me this and ordered it. I was pleasantly surprised, I had been banned from online shopping because we were had been having financial issues. When it finally came in the mail I felt so relieved. About an hour before the party I used the Hutzler 571 Banana Slicer and the fruit plate looked beautiful. I showed up at the party and my boss was so pleased he gave me a raise and a bonus! I was so happy that now with the bonus, ""Santa"" could actually get the kids what they asked for. Thanks to the Hutzler Banana slicer Christmas was saved, and my husband and I are that much closer to taking our delayed honeymoon to Hawaii!",Emily Ziegler
1217,717,717,5.0,13 Jan 2013,"Some people describe their lives in many chapters consisting of events such as marriage, death of a loved one, coming out of a relationship, starting a new job, etc, etc.",Michael
1218,718,718,3.0,05 Apr 2013,"After hearing all the glorious things said about the Hutzler 571 Banana Slicer I decided that I must acquire one by all means. It arrived today and I eagerly unwrapped it, already dreaming of putting it to use on my banana tree garden. Alas, it was not to be. Although the ergonomic and sleek design may work for certain ripened bananas, it is next to useless when tackling the much more common ""limp"" or ""mushy"" variety. After many failed and squishy attempts, I searched out a firmer specimen and gave it a shot. At first it was working great, but then I found that my banana was far too large for the Hutzler 571 to handle. In short, I would say that the Hutzler 571 is a fine tool if you only need to cut hard and short bananas, otherwise, I suggest looking elsewhere.",Banana Phone
1219,719,719,1.0,24 Mar 2013,"To say my family was excited the day our 571 Banana Slicer arrived would be a gross understatement. We all felt we had taken one more step towards the future and would be joining the millions of giddy banana slicing aficionados across the globe. Our optimism was soon ship wrecked upon the shoals of disappointment. Upon unwrapping the 571 we marveled at its sleek design. My son and I, being the men of the family, quickly broke a fresh banana off a recently purchased bunch and attempted our first foray into banana slicing bliss. We immediately discovered how difficult it would be to achieve our goal. This first attempt failed miserably. After grasping the 571 in both hands we found it is impossible to get the banana to stand on end. Next we tried the ""one hand on the 571"", ""one hand holding the banana vertical"" approach. This worked somewhat, providing us with several nice, curly slices of banana, but the 571 was stopped short by the hand holding up the banana. My wife suggested we cut off the bottom tip of the next test banana in hopes we could release it from our grasp and thus run the 571 all the way to the bottom. I immediately vetoed this idea considering the potential waste of all those future banana bottoms. Of course she left the kitchen angry but that is an issue we will not dwell on here. My son suggested we drill a 1"" hole 1/2 way through the countertop in which to insert the banana. This was a splendid idea I thought and upon a test run we discovered it did support the banana sufficiently enough to allow the 571 full travel to the base of the fruit, however we were still left with that unsliced nub at the bottom. Honestly I am baffled. If anyone out there has come up with a solution to this quagmire please don't hesitate to share it. This has caused much stress and dismay throughout the family and I don't feel we can move forward as a unit until it is resolved.",J. Ball
1220,720,720,5.0,21 Dec 2012,"All you people out there who think this is a banana slicer have missed the point! All those little slots are actually for your fingers. We here at Hutzler are part of undercover cooperative to take over the world and defeat evil.  These are the most powerful set of plastic knuckles that you will ever find! Just slip this baby on and you have a powerful force to blast through the strongest of butter! (That's why it's yellow) No dangerous tools, just a simple banana slicer. Brilliant!",Jane Doh!
1221,721,721,5.0,02 Jan 2013,I was afraid at first.  Would I love the Banana Slicer? Would it be everything I've always dreamed a banana slicer could be? Could this kitchen gadget change my life? Should I spend nearly $3?,Jay Sheckley
1222,722,722,5.0,05 Apr 2013,"For many Christians today, particularly young adults, the handful of Bible verses related to banana slicing devices seem more like the 100 plus verses on slavery than they do the teachings of Jesus and his great commandments to love God and neighbor. Their Hutzler 571 Banana Slicer friends are people, just like them, in need of love and community. I believe that in the years ahead an increasing number of Christians, not only progressives, but also conservatives, will read the Bible's passages regarding banana slicing as all Christians today read the Bible's passages on slavery. And the sermons preached from America's pulpits decrying the rights of Hutzler 571 Banana Slicer owners today will sound to future generations much like the pro-slavery sermons sound to us today.",Kyma
1223,723,723,1.0,30 Nov 2013,"I have tried to use my Hutzler 571 Banana Slicer many times, but after every use I peel back the banana peel to find a mushy mess instead of beautiful banana slices.  I've written to my Congressman but have yet to receive a response.",NCForMe
1224,724,724,1.0,29 Jan 2013,"After reading all of the wonderful reviews of this product I decided to take the jump, obtain a small private loan and order the Hutzler 571.  I still remember the moment it arrived.  My wife and I had pre-ordered a few bushels of bananas to celebrate the purchase of the Hutzler.  We started slicing bananas right away and long into the night.  The juice of the banana slices ran everywhere as we created banana slice collages, banana wall clings and other common banana slice based crafts.  We cleaned our Hutzler according to the manufacturers specifications and placed it in the special drawer next to the sink I had made for it.  I slept well that night, dreaming of future bananic endeavors.  When I awoke the next morning I found my Hutzler out of its drawer and sitting next to the bananas.  I thought nothing of it, sliced my morning bananas and went about my day.  That evening my dreams were fraught with screams of terrible agony.  I woke up in a cold sweat.  The next night I heard whispers throughout the house.  I grabbed a bat and slowly crept into the kitchen where I found my wife standing naked with piles of mangled bananas around her, the walls and ceilings dripping with unholy potassium enriched sweetness, and an ominous feeling of foreboding and ill will emanating directly from the glistening Hutzler.  She was absent mindedly slamming the Hutzler down onto her hand and had cut nearly though the first epidermal layer!  I ran.  My wife says I imagined the whole thing, but I'm not sure it's her I'm talking to anymore.  I've tried to research the Hutzler but have been stymied.  Message boards hint at some terrible accident at the Hutzler product quality testing facility.  Some very scared people (who wish to remain anonymous) have also told me that the Hutzler's true purpose is to siphon the spirit of every banana it slices to raise up Bananzabub, the demon of tormented produce.  I've thrown it away.  It came back.  We moved to a different state.  I found it sitting on the counter of our new home.  I'm not sure how much more of this I can take.  Please help.",James Casagrand
1225,725,725,2.0,06 Apr 2013,"So here's my problem.  I bought the Hutzler 571 Banana Slicer, because obviously that was a problem that needed to be solved.  But then when I got it home, I realized that frankly, it was just too small for my bananas.  See the bananas in my basket are, shall we say, well endowed. I don't know if that's because I prefer genetically modified fruit (thanks Mansanto!) or what, but I can't seem to fit the entire slicer over my banana.  Which of course, could lead to unsafe slicing.  So I would like to see a Magnum version of the Hutzler please.",Tim
1226,726,726,5.0,07 Sep 2012,"Ok, so assume you begin using this fantastic device at 11 (the average in which most Americans begin slicing their own bananas). Every morning you eat cereal or yogurt with a sliced banana. Peeling and slicing the banana with a knife takes an average of, lets say, 30 seconds. This godsend of an appliance takes about 1 second to completely slice a banana. With this device, you are shaving 29 seconds of completely irrelevant time off of your morning schedule. That's almost 3 hours every year. If you live to 80, that's 207 hours (or a little under 9 days). And if you happen to be immortal, you will literally save an infinite amount of time. Think of what you could do with all that time.",Zak
1227,727,727,5.0,30 Mar 2013,"I've been looking for a plantain slicer for years. YEARS I tell you! Then I saw this and thought, ""Could I?""  I didn't think it could possibly work with a plantain, so I forgot about this product for many months until I recently saw it again.",T. Thoma
1228,728,728,5.0,14 Jan 2013,"As a child I suffered from Chronic Thumb Sucking Syndrome (CTSS). Terrified at the prospect of expensive corrective dental work, and frankly creeped out by the unhygienic nature of my disease, my poor parents tried everything to get me to stop. Sadly nothing worked. Finally, as a last resort, they had my thumbs surgically removed.",DogWillHunt
1229,729,729,1.0,23 Sep 2013,"After hearing of my fathers horrific demise at the hands of the evil Yohann Von Hutzler, I vowed revenge.  Fueled by unquenchable rage I spent every waking moment in my fathers workshop working to produce a weapon that could destroy the Hutzler empire, but as I toiled they only became stronger.  Just as I was ready to rise up and unleash the 571 upon them,  my workshop was burned to the ground and I was left for dead.  Now I find my creation bearing the name of the murderous thugs that it was meant to destroy.  We must rise up against them, for if they are allowed to discover the secret of the 571's true power, life as we know it will come to an end.",Nick Brakke
1230,730,730,3.0,21 Dec 2012,"I bought the Hutzler 571 Banana Slicer and quickly noticed that banana slices stick to the blades.  Upon closer examination, I could see that the 571's blades lack the blood groove found on such quality slicing apparatus' as the Hutzler 570 Banana Slicer, the U.S. Marine Corps K-Bar Fighting Knife and the M-9 Bayonet.  Absence of the groove causes a vacuum to form when the life juices of the banana come in contact with the surfaces of the blades, which requires the cutter to have to place their foot against the banana and tug mightily to extricate the slicer from the banana's flesh, a most dangerous proposition considering the sheer number of blades the Hutzler company give this model.  I did not have this problem with Hutzler 570.  When I was finished fighting Marxist guerrillas in the jungle, I knew that as soon as I pulled my K-Bar from the chest of my vanquished enemy that I could sit down under a banana tree, take out my Hutzler 570 and enjoy tasty and soothing sliced bananas while increasing my potassium levels sufficiently to recover in time for the next wave of attacks.  With the absence of such a prominent and necessary feature, I simply do not have the same confidence in the Huztler 571 as I did in the earlier model and I fear I shall be struggling with freeing the banana slicer at a most inopportune time during the next contest of will I must engage in.",Manolo
1231,731,731,5.0,05 Apr 2013,"Pro: MUCH, MUCH better than the old 571A or 570 banana slicers.",Highly Unusual
1232,732,732,5.0,24 Oct 2012,This product has helped me through one of the most difficult phases in my life.,Indi
1233,733,733,4.0,29 Dec 2012,"I had difficulty using this product until I realized i had been trying to insert the bananas vertically. While there is a detailed instruction manual in the box, it does not discuss the actual banana axis of insertion. I wish there had been an instructional DVD included.",Edward
1234,734,734,5.0,12 Apr 2013,"What a terrific product!  I take it to the store and measure the bananas I buy with it, in that way I can be certain they will fit and will not be too short or too long.  As another reviewer mentioned, you want the banana to be bent the proper way as well.  Shopping carefully for the banana will eliminate non-fit problems. I do get some odd stares from other shoppers as I'm doing this, but that is only because they are not acquainted with this outstanding device.",anniel
1235,735,735,5.0,16 Oct 2013,"To say that something had been missing in my life was well an understatement. I tried marriage, children, food, and excessive trips to the gym all to no avail. None of these could fill the long needed hole deep inside me. It was a cold November evening; the lights were low, the wind and rain battering the windows and my last log on the fire. I sat there alone trawling through amazon pages until at last I discovered it. This bright curved shape with its elegant lines just called to me, I was suddenly swept back to by gone days in the summer eating sandwiches with my Nan in her garden, not just any sandwiches but banana sandwiches with the world's most perfect sliced sections. Nan would spend hours making sure that every cut was just right, it was at this point I knew what had been missing, and this elongated plastic device was a requisite for my kitchen an absolute necessity. I hurriedly added it to my cart and waited with baited breath.",JDWMFC
1236,736,736,5.0,28 Dec 2012,"I used to use a hatchet to chop my morning bananas but, after losing 4 fingers and a thumb I thought, ""There has got to be a better way!"" Hatchets get blood all over the banana and chainsaws are too messy. With my remaining fingers, I stood there scratching my head and then a friend, J Vorhees suggested the Hutzler 571 Banana Slicer !! Better than a 357 Magnum, the Hutzler 571 is not as loud, not as messy and you don't have to remove the safety to use it. And the best thing is, it never accidentally goes off in a night club and shoots you in the leg ( are you listening, Plexico ?) If Lorena Bobbitt had had one of these, Her hubby John Wayne would've had to change his name to Jane. Don't wait until next Christmas. Order now !!",Mungo Jerry
1237,737,737,5.0,17 Jan 2013,Banana banana pointing north and south.,Breckie3
1238,738,738,5.0,13 Aug 2012,"Eleanor Roosevelt once said ""The future belongs to those who believe in the beauty of their dreams."" I can think of no better example of this then the good people... nay... GODS of Victorio Kitchen, who dared to believe in a dream, where no longer are we shackled to the chains that is slicing bananas day in, and day out, despairing as we relinquish all hopes of ever cutting the banana into that fabled perfect sliced size. No longer do our husbands righteously beat us mercilessly for delivering them uneven and uneatable slices of that sweet sweet potassium in their cereal, a fate no man should suffer, yet so many do; and no longer do our children spit on us for making them eat bananas whole at school, whilst teachers and students alike point and ridicule them as they use their teeth like dirty plebs to obtain the bite size pieces necessary to consume the banana. This dream was finally realized with the invention of the 571B Banana Slicer, the invention that will define our century, an unmatched monument of how far we have come, and how little we have yet to go now, with the most grandest of challenges for humanity finally and most spectacularly solved. My husband beats me much more softly now, and my children are now the ridiculERS at school, targeting the minorities viciously as I watch on proudly, and it's all thanks to Victorio Kitchen Products.",D.Zeder
1239,739,739,3.0,27 Jan 2013,"My dear, late friend Jim used to slice everyone's bananas at lunch here at our office and was a master. He had won several regional tournaments and was a respected member of our staff. Unfortunately, he recently passed. It was a bit poetic that he would get hit by a bus outside a banana slicing convention, but we were all just glad he died doing what he loved.",AlmightyTreeGod
1240,740,740,5.0,06 Mar 2013,"Congress is trying to pass a bill that would either limit the amount of slices this slicer could make at one time or ban it completely for civilian use citing the recent surge of slicer violence namely the April 2012 Napa Valley incident where a crazed wine maker sliced 3 grape vines with this slicer. My arguement is that slicers dont slice fruit people do so we dont need to ban slicers but rather have better background checks to avoid misuse but thats neither here nor there. Either way im going to start stock piling these bad boys before the ban and suggest you do the same before its too late. I also suggest you write your congressman to stop this nonsense. What will the ban next, the spork?",Iveman99
1241,741,741,5.0,02 May 2013,"I used to hate having to slice bananas in the morning. It was always such a hassle. I would go outside and fire up the ol' wood chipper for some good old fashioned banana slicing mayhem- just the way my father taught me growing up in rural Alabama. The only problem being that the wood chipper always tends to obliterate the banana into mush and the banana mush happens to have a strong taste of gasoline and mulch. Not to mention the bits of banana shrapnel that fly out of the wood chipper. My neighbors hated me for this because of all the noise so early in the morning and of all the banana pieces that would splatter all over the side of their house. They constantly called the cops on me. So this one day, the Police Officer that came to my house after a rogue banana slice flew out of the wood chipper and broke my neighbor's window recommended I purchase the Hutzler 571 Banana Slicer. Turns out the cop used to be in the same banana slicing predicament as myself! He explained to me that he had grown tired of wasting his ammunition to slice up a banana until a friend recommended the Hutzler to him. Next thing I know, I'm on Amazon.com and I'm ordering myself one of these bad boys! Now my neighbor no longer calls the police on me for banana related incidents, and I finally have the precise and uniform banana slices that I have strived for my entire life! My father would be so proud! I only wish I could have recommended this product to my good friend, Billy Joe, who passed away last year. Billy Joe died from massive blood loss after severing his hand in a futile attempt at slicing a banana with a band-saw. RIP Billy Joe. If only you knew about the Hutzler 571...",Hank Hill
1242,742,742,4.0,27 Jan 2013,"Before I discovered the Hutzler 571 Banana Slicer, I had been blissfully ignorant of the challenges that many people face every day in slicing their bananas. All of this time, I had been eating mine like one of the lesser-developed primates, peeling it and then eating it from nature's own package, dropping the skin in the trash.",calledstrike
