,0
65,"Ok so I bought these ear buds to go with my new phone which does not have a headphone jack. I wanted something small, light and comfortable. These fit the bill because they also come with a small charging case for carrying them around. They are small, light and very comfortable to wear for long periods. I mainly use these when walking the dog or going for a run and have to say the sound quality is excellent. The touch controls on the Earbuds work well too and are a very good addition to the Earbuds. They stay in the ear very well when running and walking and I got wet the other day on a run and they were fine. The charging case is very good and charges the Earbuds as soon as you put them in. Connection to my phone was very simple and took about 20 seconds. Now as soon as I take the Earbuds out of the case they connect to my phone and I'm ready to go, its really that simple. I have to give these Earbuds 5 stars because they work great, the sound quality is excellent and the charging case is brilliant."
66,Ce sont de bons petits écouteurs Bluetooth qui font bien leur job. Ils sont effectivement waterproof et le micro est de bonne qualité. Ils sont livrés avec un chouette étui de rangement et des embouts de rechange. L'apparaige est rapide et ils ont été reconnus par tous mes appareils récents et plus âgés. Le système de fixation fait qu'ils tiennent très bien sur les oreilles et se font vite oublier. La durée de vie de la batterie me semble des plus correctes : je ne l'ai pas encore rechargée après plusieurs heures d'écoute. :-) Ça me semble être un bon rapport qualité prix.
67,"J’ai acheter c’est écouteurs pour la salle de sport car je n’aime pas courir sur un tapis ou même en extérieur avec un fils qui se balade, A l’ouverture j’ai etait surpris des accessoires fournis (boîte de transport passe partout, 3 tailles d embout, une paire d’embout a mémoire de forme, et une petite pince pour serrer le câble des écouteurs. J’ai reçu les écouteurs charger a 100% très bon point, connexion très simple suffit de l’allumer est d’activer son Bluetooth est de cliquer sur les écouteurs. Parlons maintenant du son qui est pour moi très très bon ! J’utilisais des écouteurs Apple filaire sur un iPhone 7 le son est vraiment identique voir un peut mieux une bonne présence des basses, est avec un peut de réglage on peut vraiment avoir quelques chose de très bien. Les écouteurs ne font bas de gamme, et il tiennes vraiment bien quand on bouge. Je recommande grandement se produit pour les personnes qui ne veulent pas dépenser énormément d’argent dans des écouteurs pour le sport, qui peuvent aussi bien être utilisé tout les jours."
68,"déjà détenteur des Mpow Wolerine ,j'ai racheter ces Mpow flame pour ma femme et son footing ,elle préférè le maintien derrière les oreille, il sont moins discret mais par contre une qualité de son bien supérieur notamment au niveau des basses et de la spatialisation stéréo.Comme souvent avec les produits Mpow un rapport qualité prix excellent et une belle finition."
69,"J'ai acheté ces écouteurs pour les utiliser en salle de sport. Ils sont vraiment top pour le prix, un son nickel même dans les basses, tentez la musique 8D avec, c'est excellent. Pratique à utiliser avec les boutons de l écouteur droit : volume, changer de musique, recevoir un appel et discuter. Il y a 3 embouts différents pour les oreilles. Je suis vraiment contente de mon achat. Expédition rapide et soigné."
70,Le son n'est pas le meilleur mais je m'en sers tous les jours dans les transports depuis 6 mois et toujours impeccable. Trajet de 45' le matin et le soir et la charge me fait la semaine. De plus le boitier permet de les ranger correctement dans mon sac. Je suis très content de ce produit.
71,Alors sincèrement je rejoins à 100% tous les commentaires précédents ! N'hésitez pas ces écouteurs à ce prix est parfait pour les sportifs ayant besoin d'un produit confortable complet waterproof avec une autonomie plus que convenable et le son !! C'est 10x mieux que mes JBL Filaires je pèse mes mots et suis très au détail sur le son .. Led Témoin bleu clignotante par intermittence .. possibilité d'avancer reculer diminuer augmenter éteindre Mute .. livré avec câble USB et oreillettes de rechange avec taille ! Son boîtier de rangement pratique discret c'est juste nickel en tout points.. possibilité de coloris qui plus est donc honnêtement 20€ 😄 on ne chipote pas ! Bravo
72,"Identique au HBUDS 01: Acheté ceci après une paire de beats x: j'ai aimé: - résistant à l'eau. essayé dans la douche - meilleure autonomie que beatsX - bonne qualité sonore - charge rapide (pas aussi rapide que beatsX, mais 5 fois moins cher) - très bon prix ( ~20 euros) - étui de protection (beatsX en a une qui est une blague) - bonne isolation acoustique choses que je n'ai pas aimé: - LED qui est toujours allumé - indicateur de batterie a besoin de plus de travail: montre 90%, après 1h encore 90% et après un autre 1h tombe à 60% tout d'un coup - design: trop grand à mon avis (je reviendrai sur les oreillettes)"
73,"Ma fille est ravie de ses écouteurs, mieux que ceux qui ce branche."
74,"Ecouteurs bluetooth doté d'un dock de recharge portatif. C'est un concept que j'apprécie beaucoup. Il suffit de recharger le dock noir qui sert également de stockage pour les écouteurs et vous pouvez les transporter partout. Si vous allumez le dock, les ecouteurs s'allument et se mettent à se charger. Vous pouvez si vous le souhaiter les demarrer manuellement. Les ecouteurs passent en phase d'apparaillage bluetooth. Ce fut assez laborieux pour l'apparaillage mais je m'y suis mal pris. Maintenant dès l'allumage des ecouteurs mon telephone se connecte directement. Concernant la qualité d'écoute, elle est très bonne, il y a forcement mieux mais ces ecouteurs satisfairont la pluspart des gens. J'avais peur que les écouteurs tombent durant une activité physique mais finalement il n'y a pas de soucis ils tiennent bien."
75,"Vrai expert en la matière / Écouteur à déconseiller - Ne surtout pas acheter - Arnaque 1. Ce n'est pas tactile mais bouton poussoir avec clique mécanique ( Sensation horrible dans l'oreille ) 2. Bluetooth avec des lag énormes, temps de latence, en fait si on n'est immobile ça fonctionne mais dès que l'on bouge déconnexion permanente, testé sur tout environnement IOS, Android, Iphone X, Samsung S8+ , 9+ , Asus zen, Motorola One ... 3. Beaucoup plus d’aiguë que de grave 4. Batterie se décharge à une vitesse hallucinante que ce sois en streaming audio ou vidéo 5. Un des écouteur ne fonctionne plus du tout après, allez un mois d'utilisation en va dire à hauteur d'une heure par jour environ 6. Pour résumer NE SURTOUT PAS ACHETER, mieux vaut mettre 10 euro en plus et prendre un de meilleur qualité"
76,"retour d'expérience après une petite semaine d'essai * la qualité du son est bonne pour la taille des écouteurs à la différence d'autres écouteurs qui pourrait fournir des son moins profond. * la communication est bonne et sans écho même à travers un bonnet. * le boîtier fournit avec les écouteurs permet de recharger les écouteur même sans avoir un accès à une prise. Gros plus! Le pairage est simple avec une pression continu sur les deux écouteurs et investment pour se deco, il faut chercher TI8S comme appareil Bluetooth. Bref ça tiens bien, c'est du bon son et j'en suis pleinement satisfait pour mon usage vélo - marche - jardinage"
77,"J'avais besoin d'une paire d'écouteurs bluetooth pour le sport et je ne souhaitais pas y mettre un prix de fou (exit AirPods et galaxy earbuds). Mes attentes n'étaient donc pas très élevées en achetant ce produit et j'ai été fort agréablement surpris! L'appairage est ultra simple, le son est vraiment bon (meme les basses), l'autonomie est supérieure a mes besoins et l'ergonomie est parfaitement adaptée à mes oreilles. Une vraie bonne surprise et un rapport qualité/prix imbattable!"
78,"Achetés pour remplacer lors de mes sorties running à la place d'un casque (un Turbine 2ts), je suis agréablement surpris par la qualité sonore de celui-ci, les autres intras que j'avais eut étaient toujours avec des faiblesses dans les basses, un peu criards. Loin de ceux là, celui ci est équilibré, et les écouteurs tiennent bien dans les oreilles. La qualité du son est très bonne, la réduction du bruit est efficace, et ils ne bougent pas pendant un exercice physique, tout ce que l'on attend d'écouteurs comme ceux ci!"
79,"Je cherchais des écouteurs sans fil qui tiennent la route, à la vue du prix de ceux-ci, j'ai eu un léger doute quant à la qualité. Il faut comprendre que tout ce qui est chinois n'est pas mauvais. Tout ce qui n'est pas cher n'est pas non plus mauvais. J'ai reçu dans les temps, toute petite boite qui tient dans la paume de la main, à l'ouverture, je voyais les écouteurs en train de se charger grâce à la boîte, à peine je les retire de leur cocon que je peux me connecter avec mon téléphone OnePlus sans soucis ! Le son est de très bonne qualité, ça reste des écouteurs donc le son se laisse entendre par les personnes proches s'il est trop fort, mais ce n'est qu'un détail. Les remettre dans sa boîte une fois l'utilisation terminée et ils se rechargent tout seuls. La connexion au téléphone se fait toute seule ensuite rien qu'en enlevant les écouteurs du boîtier ! Un appui sur un écouteur de n'importe quelle oreille pour couper la musique ou la reprendre si on vous parle !"
80,"Elles tiennent vraiment bien dans les oreilles (même pour une séance de running) et sont vraiment confortables. Le produit est d'ailleurs fourni avec 3 tailles de bouchons afin de satisfaire toutes les largeurs de conduit auditif. Très beau design pour ces excellentes oreillettes qui délivrent un son de qualité grâce notamment à un système de réducteur de bruit extérieur intégré. Présence des basses et aigus avec un parfait équilibre et la sonorité en stéréo est claires et pures. Les écouteurs sont retenus magnétiquement dans le boitier pour éviter de les faire tomber si celle-ci s'ouvre. La recharge est simple, il suffit de replacer les oreillettes dans sa boite, un indicateur de LEDS permettent de visualiser l’énergie restante."
81,"Das Preis-Leistungsverhältnis ist einwandfrei kann ich vorab schon einmal sagen. Kommen wir zu den Einzelheiten: Pairing = unkompliziert Verbindung = Einmal gepaired, verbinden sich die KH automatisch mit dem jeweiligen Gerät sobald man diese aus der Ladebox nimmt. Beim ersten Mal herausnhemen geht der Kopfhörer in den Pairing Modus. Finden die Kopfhörer das Bluetooth Gerät nicht, wechseln sie nach ein paar Sekunden in den Pairing Modus (sinnvoll wenn man BT absichtlich aus hat um ein zweites Gerät zu pairen). Ausdauer = bis zu 6 Std. wenn voll geladen Tragekomfort = angenehm, man merkt die Kopfhörer kaum. Verschieden grosse Silikon buds sind zum optimalen Tragen dabei. Bedienung = gut, aber etwas präziser wäre toll Verarbeitung = ist ganz ok, Gehäuse der Ladeschale mutet etwas billig an Klang = ist klar und ein wenig basslastig aber recht gut Abschirmung Außengeräusche = sehr gut Gewicht der Kopfhörer = angenehm leicht Powerbank = funktioniert einwandfrei mit verschiedenen Geräten. Mit Statusanzeige aussen an der Ladebox. Leuchtet auf sobald die Kopfhörer und/oder ein externes Gerät geladen wird. Gleichzeitiges Laden der Kopfhörer und eines externen Geräts ist kein Problem."
82,"Ich habe dieser Kopfhörer oder EarPods bestellt, weil ich eine nach einer Alternative zu den immer recht großen und sperrigen on Ear Kopfhörern gesucht habe! Was mich natürlich bei anderen Kopfhörern am meisten gestört hat, ist das ständig nervende Kabel. Das Gute ist, dass es bei diesen Kopfhörern kein Kabel gibt :) Anbei habe ich ein paar Bilder zu den Pods, damit ihr euch einen kleinen Eindruck verschaffen könnt. + 3 Stöpsel in unterschiedlichen Größen, (klein, mittel und groß) + Beigelegtes USB Ladekabel + Sehr leicht und angenehm zu tragen + Ladestatus wird in der Box angezeigt + Lassen sich sehr leicht mit dem Smartphone verbinden (wenn man sie einschaltet, dann spricht eine Stimme und gibt einen die Info ""Pods ON oder Pods OFF"") + Magnetisches Case Ich bin sehr von den Pods angetan und es ist eine echt gute und kostengünstige Alternative :)"
83,"I've wanted wireless earphones that are individual ear pieces for quite some time now, but I couldn't bring myself to splurge £150+ on a pair of AirPods, so I thought I'd take a punt with these. And man, I am so glad I did. Firstly, the sound quality from these things is amazing. Really rich sounds with a great level of bass. I'm hearing sounds and instruments in songs that I've been listening to for ages! When you consider that this is one of the main reasons you buy a pair of headphones, getting this level of quality for £30 is not something I would usually expect. Pairing is incredibly easy. After you do it the first time on your phone/device, it'll always be straightforward. It's as simple as getting the earphones out of their case, and before you can even put them in your ears, they're already ready to go. The case itself is very handy, as it also functions as a power bank. You could probably get a charge/just under for a phone, so I find it's something that would probably be good as an emergency, rather than a dedicated power bank. The case at full charge should be able to provide the earphones with a good level of recharges, if the description is to be believed. Speaking of which, battery life seems good, but I've not been able to fully give it a test yet. I've been listening today for a couple of hours (the longest stretch in the few days I've had them), and my iPhone is still reporting that they're on 100% battery. The fit seems snug, but this will be properly pushed when I take them on a run. But I've worn them on a general walk about and they've felt secure. The box comes with quite a few different bud fits if you need to adapt them for your ears. The gestures on the earphones are pretty simple, with a handy instruction manual telling you what accomplishes what. In practice, they're pretty efficient. I, like most, have accidentally put music on/off as I've been putting them in my ears due to touching them, but this is minor and you learn to stop it after the first few times. It usually registers your touch accurately, but because of how they sit in your ear, you might have to fiddle around with positioning etc. But this is a minor niggle. Overall, this is a fantastic investment. If you need to enter the wireless earphones game but don't want to ball out, then at £30 for these, you can't go wrong. EDIT: so after having used them for a few days, I can confirm that the battery life is give or take what it states, in terms of a single use giving 4-6 hours of use. I did have some issues with the left earphone not performing as optimally in terms of the charge/gestures compared to the right, but I reached out to the seller whose service has been prompt and very helpful."
84,"I’ve had these headphones about a week now and I’m very impressed with them. I wasn’t sure what to expect for £20 but I’ve been pleasantly surprised. They came via prime delivery which was great and once I opened them I was once again very happy. They connected to my phones Bluetooth in seconds so I didn’t have to waste time. The sound is great and they feel light in your ears so they don’t cause any disruption. I used mine for running and also mountain climbing and they stayed in my ears no problem at all. They come with extra earcups so if the first ones don’t fit then there is another size to try. When you charge the earphones all you do is plug them into the little docking box which is supplied with them. They will instantly start to charge and it does not take a long time to reach full charge. They also have a good battery life which is great if you are having a day out or maybe running a long distance. I try to review based on quality , look and price and these headphones exceed in all 3 and they won’t sting your pocket at all. Very happy 😁🎧🎶"
85,"These are amazing! High quality sound and IPX56 which means they are highly dust proof and waterproof. They have great base and sound is crystal clear. They are very easy to use and easy to pair to your phone. Once paired, they will pair automatically. The connection is very stable with a ten metre range. They are very comfortable to wear and stay in the ears. You can hear your music even in noisy environments. With the built in switch control you are able to control your music and calls. They come with a small magnetic portable charging case which is able to charge the headphones on the go. With the earphones you can get upto four hours of music or talk time on a single charge. You can charge upto five times with the case. No more having to take your charger wire out with you. The charger is very lightweight and small and it will fit in your pocket. Different size eartips are included, to allow you to obtain the perfect fit, plus instructions. The price is excellent for all the features especially being IPX56 rated. Superb value and amazing earphones. I highly recommend this product. If you found this comment helpful please press the button below. Thank you :)"
86,"Recently purchased this product as I was in need for some wireless earbuds to use when excercising. They arrived very quickly and I great condition! Also it was very simple to set and it came with other sized buds so I could change them to fit my ear size. The sound quality is great, they’re noise cancelling and the battery life is great, keeps me going days and days! Would definitely recommend!!"
87,"I was looking for a set of budget Bluetooth earphones for travelling and after a search came upon these. They are comfortable to wear (with lots of different ends of different sizes) and are small enough to wear for long periods whilst easily recharged using the supplied charging box that doubles as a storage box. Sound quality is good, not too much bass and not at all muffled or muddy like some earphones I've tried. These will work as general purpose multimedia earphones as well, for example to use while watching films on the phone. All in all, a well made item that doesn't break the bank but offers good value for money."
88,Die Sendung ist angekommen wie erwartet. Amazon hat dazu 5 Sterne verdient. Die ArtikelVerpackung sieht sehr schön aus. Zum ersten Mal war ich einfach umgehauen was die soundqulität angeht. Mit dem tatsch Funktion kann man ohne Probleme alles damit steuern. Was die kleinen Dinge alles machen können: Audios bzw. Videos an/ausmachen Telefonieren weil die mit Microphone ausgestattet sind Anrufe annehmen/ablegen Noch effenzienter ist der kleine bis vo die Hörern gesteckt sind zum aufladen. Der bis ist selber mit einem Akku ausgestattet. Sodass Mann auch es überalll mitnehmen kann auch wenn kein Strom zu Verfügung steht. Meine weitere Empfehlung
89,"I didn't know what to expect with this in-ear buds, but I was pleasantly surprised. The box they come in acts as a docking/charging station, which is quite cool. They come with a (short) USB cord and different sized earbuds. I had to charged them initially for about 10 minutes and when they are fully charged the red light will go off. Whilst charging the dock flashes blue. I placed them in my ears, turned Bluetooth on from my phone and the earbuds paired almost instantly with no problems. I have used them for listening to music, taking incoming calls and when at the gym. For the money, they are well worth it !!"
90,"Bluetooth headphones with a portable charging dock. It's a concept that I like a lot. Just recharge the black dock which also serves as storage for the headphones and you can carry them everywhere. If you turn on the dock, the headphones turn on and start charging. You can, if you wish, start them manually. The headphones go into the phase of bluetooth display. It was quite laborious for the apparaillage but I got it wrong. Now when the headphones are turned on, my phone connects directly. Regarding the quality of listening, it is very good, there is necessarily better but these listeners will satisfy most people. I was afraid that the headphones fall during a physical activity but finally there are no worries they hold well."
91,"Habe jetzt schon einige Bluetooth Kopfhörer getestet aber diese sind definitiv die besten bisher. Grade weil ich Sport mache ist es mir wichtig das die Kopfhörer auch bei starken Bewegungen nicht verrutschen oder gar rausfallen. Das ist bei diesen Kopfhörern nicht der Fall. Sie halten Bombenfest. Von der Qualität errinern sie mich etwas an die Apple Kopfhörer; Leicht und Hochwerig verarbeitet. Soundtechnisch haben mich die Kopfhörer aber mehr überzeugt als in allen anderen Optionen; Klang ist richtig Sauber, rund und perfekt eingestellt. Gänsehaut! Versand wie immer mit prime sehr schnell."
92,"First set of wireless earbuds so I have nothing to compare them to but I'm pleasantly surprised. Amazon seems to be awash with tons of these things, all unbranded so it's hard to know what to choose. If you're a proper soundphile these may not be the best for you, they're very bassy and I had to adjust my phones eq to pull through some of the higher tones but as I listen to ""future bass"" music this wasn't too much of a concern. Connecting is a little odd as the instruction guide states you can connect just one headphone but you actually need to turn both on for them to connect to the phone as they look for eachother and then the phone once both connected. Better than I expected to be honest"
93,I bought these headphones as a present 4 by nephew. I like that they had a case that charges them up. He said that the headphones are comfortable to wear and the sound quality is very good.. they hold a very good battery life but they do you have a chargeable case so they will always be charged. You can press the button on the earpiece to make the volume go up and down you can pause them and you can skip songs They're nice and little and fit in your ear very comfortably they come with a little material bag that you can put them in so the case doesn't get scratched he's happy so I'm happy happy customer
94,"I usually use the over the head headphones, however wanted some in ear ones. These are great, the noise cancellation quality is perfect and youd expect them to have cost a lot more for the quality. The sound quality is superb. These are great for working out. Not bulky. Basically cant fault."
95,"The earbuds are small enough to not sticking out and looks nice and comfortable to in ear. It comes with comes with interchangeable ear tips which is good if you need a different size of that to get the perfect fitting. I am using the earbuds from last 5-6 days and getting abut 4-5 hours charge time and the case takes very small amount of time to charge the buds which is impressive. These are comfortable to wear and doesn’t fall off the ear when walking. Thee sound quality is good, maybe not the best but again at that price point I didn’t expect anything more than this. When you get the right fitting and playing music with moderate level of volume then the noise around almost goes away. It’s not the best for noise cancelling but does the job decently. Pairing with iPhone or Android is really easy too. Overall, happy with the purchase."
96,"Lors de la mise en route les 2 oreillettes ne se sont pas connectées entre elles probablement parce que j'ai activé trop vite la connexion au téléphone, du coup, même en connectant chaque oreillette au téléphone, on ne reçoit le son que sur l'oreillette gauche ! Pour repartir à 0 ... il n' y a pas de site Yobola, donc système D pour faire un reset : eteindre les 2 oreillettes, puis dissocier sur le téléphone les/la connexion(s) T2 blutooth, puis rallumer chaque oreillette en appuyant trés longuement sur les boutons (10 à 20 secondes) et en écoutant les messages , il y a un message qui doit indiquer que les 2 oreillettes se sont connectées entre elles, ensuite seulement faire une recherche bluetooth depuis le téléphone et associer , il y a un seul T2 qui doit s'afficher ( c'est la liaison de l'oreillette gauche) ... s'il y a 2 T2 qui apparaissent c'est que l'association des oreillettes entre elles a loupé... donc recommencez ! Pour éviter tout ça , ne surtout pas connecter au téléphone avant que les 2 oreillettes ne se soient associées entre elles."
97,"Quel bonheur de ne plus avoir de fils du tout ! J'ai essayé plusieurs sortes d'écouteurs mais même les sans fils ont toujours un fils pour relier un écouteur à l'autre. J'ai voulu tester ce modèle pour voir. Et bien je suis convaincu. C'est une forte inspiration de la marque à la pomme mais la qualité de son est très bonne et l'utilisation très simple pour un prix défiant toute concurrence. L'appairage se fait très facilement et je peux m’éloigner de plusieurs mètres de mon téléphone sans aucune coupure du bluetooth. La recharge dans la boite permet une très grande autonomie. En footing, c'est un vrai bonheur. Plus aucun fils et on fini par oublier que l'on porte des écouteurs"
98,"Fini les écouteurs à fil... Vraiment surpris par la qualité de ce produit au prix ou je l'ai acheté! Très facile d'utilisation, tient très bien à l'oreille avec un son de très bonnes qualités. 8ls sont vendus avec un petit câble USB pour les recharger.une boîte de rangement qui sert également de chargeur. Je l'utilise également pour faire du sport et ça tient très bien à l'oreille. Je recommande"
99,"Ces écouteurs sans fils sont d'une bonne ergonomie et restituent un bon son. On peut ranger le smart phone où on veut et rester libre dans tous les mouvements, même lorsqu'on fait du jogging par exemple, les écouteurs restent en place et tout ceci, sans fils à faire passer sous la veste...etc très bon rapport qualité/prix !"
100,"Je cours environ deux heures par séance de jogging, et j'ai tout essayé en terme d'écouteur. Les sans fils avec le bluetooth : c'est clairement ce qu'il y a de mieux. Il y a les airpods d'Apple qui sont vraiment bien, mais le prix peut faire peur. Surtout pour un accessoire de sport. J'en ai commandé d'autres, mais la branche de l'écouteur était beaucoup trop longue. Là, la longueur est parfaite. Un peu plus longue que les airpods mais pas gênant du tout. Le son est vraiment sympa, et l'autonomie supporte mes deux heures de jogging. Pour ce qui est de la boite à recharge. Elle est plus fine que tous les autres modèles que j'ai eu, ce qui est appréciable et je n'ai eu aucun souci avec. D'ailleurs, en les voyant, mon frère m'a aussitôt demandé de lui en commander une paire. A recommander donc. Si vous avez des questions, si je peux vous être utile, n'hésitez pas :)"
101,"Ces écouteurs son un vrai bonheur: ils restent bien sur l'oreille et ne tombent pas lors qu'on marche vite. Ils ont une super bonne qualité de son, sans avoir des bruits de l'extérieur, ni de statique. La boite pour le chargement est très pratique et empêche de les perdre. On peut les mettre avec sa veste à capuche pour faire un running sans avoir peur de les accrocher avec (à différence des modèles réliés parbun cable). Le design est top et le prix très intéressant par rapport aux écouteurs de marque. J'ai peux m'éloigner à une distance de 15m sans perdre le signal de mon téléphone. Franchement pas besoin de mettre tout son argent pour avoir des bons écouteurs."
102,"Que du bonheur d'utilisation ces écouteurs et plutôt avec un bon design je trouve. J'ai essayé plusieurs type d'écouteurs mais cela mon convaincu par la liberté qu'elle offre et leur légèreté. C'est une forte inspiration de la marque à la pomme mais la qualité de son est très bonne et l'utilisation très simple pour un prix défiant toute concurrence. L'appairage se fait très facilement et je peux m’éloigner jusqu'à 10 mètres de mon téléphone sans aucune coupure du bluetooth. J'ai pu remarquer une grande autonomie grâce ao boîtier. En footing, c'est un vrai bonheur. Top merci"
103,"Bonjour 👋 J’ai acheté ces écouteurs Bluetooth pour regardé les films, sortir, faire du sport et écoute des musiques sans déranger les autres. J’adore la qualité sonore, la durée d’utilisation de la batterie, le rapport qualité prix. J’aime pas l’étui de chargement en dure j’aurais Préfères en silicone moue Petit inconvénient les bouts de silicone que je vous montre en photo doit être enlevé à chaque fois pour le rechargement car avec la protection on peut pas refermé l’étui de chargements. Mise à part c’est quelque défaut je conseille vivement d’acheter car c’est les meilleurs écouteurs Bluetooth 5 que j’ai acheté jusqu’à la."
104,"Acquistate per la mia ragazza come regalo, e appena ho ricevuto il pacco immediatamente ho potuto notare la qualità del prodotto a primo impatto. Ho acceso le cuffie e collegate subito con il mio iphone per provarle, ho ascoltato musica, provato le chiamate e gli interlocutori non hanno avvertito nessun disturbo, voce chiara in entrata e in uscita. comodissimo lo scatolino per la ricarica, molto piccolo e comodo da portare in tasca o in borsa. Pienamente soddisfatto del prodotto, rapporto qualità prezzo fantastico. Le consiglio"
105,"Ho atteso che si esaurisse la batteria delle cuffie e del dock di ricarica prima di effettuare la mia recensione. Inizio subito col dire che all'arrivo la stazione di ricarica aveva della carica residua (risultavano accesi 3 led) con il quale sono riuscito a coprire 4 giorni di utilizzo per 3 ore al giorno di allenamento. Per quanto riguarda l'audio in capsula sottolineo che non sono un fanatico del settore, ma posso dire di essere rimasto piacevolmente soddisfatto. Perfetto nei bassi e nelle medie tonalità con un'ottima riproduzione Isolamento dai rumori esterni perfetto per un utilizzo outdoor (riuscivo a sentire l'arrivo delle macchine in sottofondo così da non correre pericoli). Ottima anche l'adattabilita al padiglione auricolare. Non ho mai rischiato di perderle anche durante la corsa sostenuta. Anche il microfono si comporta in maniera soddisfacente. L'interlocutore dall'altro lato mi ha confermato di sentire distintamente quello che dicevo, anche in ambienti molto rumorosi. Se a quanto detto aggiungiamo che anche il design delle cuffie è veramente splendido vien da se che stiamo parlando di un prodotto dal rapporto qualità/prezzo veramente considerevole."
106,"Ich habe weiße Bluetooth Kopfhörer für meine Frau gesucht, da sie keine schwarzen Kopfhörer haben möchte. Bei amazon wurde mir diese ganz oben angezeigt, daher schnell bestellt. Durch Bluetooth hat man endlich keine lästigen, verheddernen Kabel mehr. Die Soundqualität ist ganz in Ordnung, selbstverständlich kann man sie nicht mit den von Apple vergleichen, die 4 Fach so teuer sind. Aber hier findet man ein sehr gutes Preis-Leistungsverhältnis. Nach unserem Test hat ist Akkulaufzeit ca. 2 Stunden 45 Minuten, es ist sogar viel besser als die Airpods. Und die Ladestation kann die Kopfthörer 7 mal voll aufladen. Es ist sehr praktisch wenn man einen langen Flug hat. Wenn man die Kopfhörer nicht benutzt, dann einfach ab damit in die Ladebox, und sie fangen sofort an aufzuladen. Ich habe ein Video von den Kopfhörern gemacht, um besser zu zeigen wie sie tatsächlich aussehen. Hoffentlich ist es hilfreich."
107,"Decidí comprar estos auriculares porque son bluetooth 5.0 y cumplen con todas las funciones que andaba buscando, ademas el precio es muy bueno. Pues he de decir que son todo un acierto. La conexión la realiza rapida y fácilmente. El sonido de la música es muy bueno. Cuando realizas llamadas oyes y te oyes sin problemas, con lo que el micrófono funciona perfectamente. Como vienen con una pequeña caja de carga, siempre los tengo cargados. Pero lo que mas me gusta es que se me adaptan muy bien, no me caen incluso cuando realizo deporte y son muy ligeros."
108,Fantasticis auriculares bluetooth contruidos en materiales de una muy buena calidad su bateria aguanta mucho mas quevotros que he probado muy contento con la compra
109,"Auriculares Bluetooth inalámbricos muy prácticos, buena calidad y pesan poco, buen diseño. Además de los auriculares, omo se puede ver en las fotos, incluye una cajita para llevarlos, un cable USB y un pequeño manual. Ideal para escuchar tu música mientras haces deporte o en el día a día de forma cómoda. Recomendables."
110,"Ho provato varie cuffie auricolari di costo minore, non sono granché suono basso e batteria scarsa. Queste invece mi hanno sorpreso, hanno un costo più alto e si vede che sono molto meglio. Il suono è buono e alto, ottime all'orecchio, calzano bene e non cadono anche durate l'attività fisica, la scatolina di ricarica è molto comoda, piccola e falsa facile da trasportare con il led che indica la ricarica residua, l'autonomia è buona, siamo oltre le 3 ore. Se la cava egregiamente anche il microfono in chiamata."
111,"Ligeros y comodos , he probado alguno del estilo y me molestaban o se me movian, estos van guay. La calidad de sonido esta bien, y corriendo se escuchan bastante bien, ademas trae unas “gomitas” que agarran mejor en la oreja. La cajita y base de carga esta bien es pequeñita."
112,"Buonasera, rieccoci con l'ennesima coppia di auricolari bluetooth, oramai lo stipendio lo sto spendendo tutto in hi-tech e devo dire che non me ne pento 😂 a parte questo preambolo gli auricolari ricalcano in toto quelli blasonati della casa della mela per intenderci, ad un prezzo davvero irrisorio. La qualità dei materiali è ottima il colore bianco è di una eleganza pazzesca. Ho provato il mio brano di test e l'audio è molto soddisfacente, alti definiti e bassi con effetto boost, bravi! Oramai i driver e la tecnologia stanno raggiungendo livelli top. Amazon ci dà la possibilità di avere accesso ad alta tecnologia a basso prezzo. Il bluetooth tiene una meraviglia anche andando al piano di sopra non perde e non c'è interferenza data dalla distanza tra un piano e l'altro dell'appartamento. Il microfono l'ho testato in chiamata e l'interlocutore addirittura mi ha detto di abbassare la voce, mai successo prima con auricolari esterni! Il case di ricarica piccolo ed elegante ha un LED rosso che indica che i due auricolari sono in carica (come da foto) per adesso super promossi. Semmai dovessi riscontrare dei difetti con l'uso nei prossimi giorni vi aggiornerò. Per adesso nessun problema, promossi a pieni voti. Tenuta in orecchio molto buona, ho fatto movimenti bruschi col capo e si tengono saldi nelle orecchie pur essendo leggeri."
113,"Excellent earphones, has brilliant surround sound system and bass. Comes with a nice charging case. Very stylish."
